episode,reward,avg50,steps,done_reason,epsilon,loss
121,-130.275,206.813,841,collision,0.4274,7.94003
122,619.340,216.795,1635,goal,0.4244,7.78986
123,746.954,229.324,2227,goal,0.4215,9.26316
124,871.313,239.693,2776,goal,0.4185,8.41221
125,-212.346,232.033,1091,collision,0.4156,6.81008
126,347.393,229.304,3014,stuck,0.4127,7.31889
127,-192.598,221.438,481,collision,0.4098,8.10652
128,-5.705,215.303,206,collision,0.4069,9.95715
129,377.526,215.351,866,goal,0.4041,5.87489
130,637.174,227.897,1486,goal,0.4012,6.71867
131,426.015,231.071,778,goal,0.3984,8.91470
132,616.900,232.202,1613,goal,0.3956,8.08978
133,-754.400,215.119,1401,collision,0.3929,7.95202
134,420.613,219.484,652,goal,0.3901,9.86324
135,403.717,240.742,741,goal,0.3874,9.49749
136,-148.278,228.101,1413,stuck,0.3847,11.09473
137,-448.059,205.300,1341,collision,0.3820,8.61213
138,-58.443,192.174,13,collision,0.3793,18.61208
139,166.282,186.046,722,collision,0.3767,9.58643
140,458.114,180.619,1418,goal,0.3740,8.60577
141,710.003,181.480,1792,goal,0.3714,8.32816
142,246.952,181.602,147,goal,0.3688,11.00875
143,774.464,182.384,1817,goal,0.3662,6.97366
144,641.419,197.831,1613,goal,0.3637,7.20182
145,465.950,194.594,1752,goal,0.3611,7.61199
146,321.527,205.734,1218,collision,0.3586,7.96019
147,-86.572,206.357,801,collision,0.3561,7.13257
148,641.644,215.818,1543,goal,0.3536,8.63186
149,748.443,224.020,2607,goal,0.3511,8.46747
150,523.950,240.751,1253,goal,0.3486,7.25451
151,710.332,255.362,4415,goal,0.3462,7.95762
152,195.769,257.504,1247,collision,0.3438,7.87977
153,-163.097,248.771,1841,collision,0.3414,7.23002
154,783.095,264.936,1928,goal,0.3390,6.95912
155,417.032,272.592,821,goal,0.3366,7.74180
156,175.630,273.068,618,collision,0.3343,7.47853
157,236.329,271.754,114,goal,0.3319,4.53570
158,174.303,282.096,1675,rollover,0.3296,8.64780
159,795.469,297.031,1712,goal,0.3273,8.02083
160,156.285,301.319,1539,goal,0.3250,7.23085
161,-100.160,288.646,1112,stuck,0.3227,7.90931
162,-355.646,278.509,1793,stuck,0.3205,6.62543
163,901.707,294.629,2325,goal,0.3182,7.73785
164,-73.862,276.526,700,collision,0.3160,4.79403
165,1099.872,290.781,2786,goal,0.3138,7.23850
166,997.763,313.969,3201,goal,0.3116,6.56245
167,202.896,320.328,2018,collision,0.3094,6.84450
168,60.635,324.661,348,collision,0.3072,5.01927
169,221.243,322.013,1214,collision,0.3051,6.77769
170,120.015,313.693,511,collision,0.3030,7.69164
171,-56.742,315.163,206,collision,0.3008,8.92455
172,547.111,313.719,2426,collision,0.2987,7.50920
173,63.506,300.050,813,collision,0.2966,8.89997
174,-305.556,276.512,2853,collision,0.2946,7.75044
175,387.486,288.509,1472,collision,0.2925,7.70868
176,454.008,290.641,1742,goal,0.2904,8.58854
177,746.089,309.415,2143,goal,0.2884,8.02471
178,-43.821,308.653,600,stuck,0.2864,7.22402
179,75.260,302.607,826,collision,0.2844,6.73766
180,774.729,305.358,1949,goal,0.2824,6.66985
181,110.503,299.048,1536,stuck,0.2804,7.50006
182,340.732,293.525,2629,stuck,0.2785,8.21448
183,252.655,313.666,1562,stuck,0.2765,5.99821
184,176.243,308.778,1606,stuck,0.2746,6.28692
185,-84.432,299.015,2594,stuck,0.2727,8.17174
186,-64.670,300.688,1099,collision,0.2707,8.32507
187,531.263,320.274,1029,goal,0.2688,8.02502
188,651.958,334.482,2751,goal,0.2670,6.34085
189,290.527,336.967,769,goal,0.2651,9.77901
190,408.915,335.983,4655,stuck,0.2632,7.84393
191,650.649,334.796,1483,goal,0.2614,7.99785
192,58.742,331.032,2838,collision,0.2596,7.45098
193,-32.270,314.897,157,collision,0.2578,6.68798
194,340.449,308.878,3024,goal,0.2559,7.40938
195,316.284,305.884,370,goal,0.2542,8.51590
196,-48.692,298.480,600,stuck,0.2524,6.44479
197,147.640,303.164,1075,collision,0.2506,6.71015
198,300.069,296.333,1754,collision,0.2489,5.92202
199,-505.296,271.258,955,stuck,0.2471,6.88995
200,-124.277,258.293,622,collision,0.2454,6.80860
201,1018.287,264.453,3099,goal,0.2437,6.60030
202,461.197,269.761,3064,collision,0.2420,6.44940
203,531.081,283.645,2108,collision,0.2403,5.40708
204,461.544,277.214,2126,collision,0.2386,4.63463
205,475.575,278.384,1075,goal,0.2369,5.55395
206,898.496,292.842,3378,collision,0.2353,5.62370
207,253.425,293.184,1884,goal,0.2336,6.04514
208,390.147,297.501,1367,collision,0.2320,6.58030
209,866.980,298.931,1909,goal,0.2304,5.99800
210,385.123,303.508,1390,collision,0.2287,6.27703
211,-262.086,300.269,3302,stuck,0.2271,5.94919
212,353.492,314.452,1227,collision,0.2255,5.28883
213,215.339,300.724,1405,collision,0.2240,6.31900
214,-371.142,294.779,3942,stuck,0.2224,4.40502
215,293.462,278.651,1672,collision,0.2208,6.01501
216,481.251,268.320,6500,timeout,0.2193,4.94325
217,116.445,266.591,1053,stuck,0.2178,5.36270
218,368.666,272.752,1206,collision,0.2162,6.57903
219,222.317,272.774,1050,collision,0.2147,7.27128
220,514.397,280.661,1692,collision,0.2132,4.81384
221,479.467,291.385,970,goal,0.2117,4.42193
222,166.719,283.777,641,collision,0.2102,6.34102
223,1360.130,309.710,4568,goal,0.2088,6.07769
224,265.970,321.140,946,collision,0.2073,4.93591
225,463.500,322.661,2729,stuck,0.2059,6.24186
226,38.678,314.354,5471,goal,0.2044,5.08601
227,-124.069,296.951,3200,stuck,0.2030,4.16412
228,805.432,313.936,2749,goal,0.2016,5.65114
229,138.055,315.192,2891,goal,0.2002,5.59122
230,2.362,299.745,1538,stuck,0.1988,3.35645
231,504.087,307.616,1781,goal,0.1974,5.14350
232,107.650,302.955,1803,stuck,0.1960,5.48739
233,423.578,306.373,1046,goal,0.1946,4.37911
234,384.121,310.531,1342,collision,0.1933,6.46591
235,214.295,316.505,1017,collision,0.1919,5.75681
236,371.200,325.223,848,goal,0.1906,5.77226
237,222.322,319.044,779,collision,0.1892,4.31642
238,723.798,320.481,1637,goal,0.1879,6.66774
239,1412.464,342.919,3739,goal,0.1866,5.24488
240,408.829,342.918,653,goal,0.1853,6.78594
241,282.500,335.555,1023,collision,0.1840,4.61993
242,364.415,341.668,2142,stuck,0.1827,4.89766
243,158.842,345.490,651,collision,0.1814,7.08514
244,126.512,341.212,712,collision,0.1801,5.45012
245,971.140,354.309,2513,goal,0.1789,5.80138
246,883.099,372.945,2230,goal,0.1776,5.61725
247,80.717,371.606,535,collision,0.1764,4.63556
248,86.309,367.331,546,collision,0.1752,7.60008
249,817.163,393.780,2051,goal,0.1739,5.47359
250,137.472,399.015,2458,stuck,0.1727,6.02568
251,-56.967,377.510,600,stuck,0.1715,4.05232
252,-16.903,367.948,782,collision,0.1703,3.05805
253,34.786,358.022,260,collision,0.1691,7.76700
254,209.691,352.985,2176,collision,0.1679,4.03628
255,435.858,352.191,2115,collision,0.1667,4.46527
256,530.253,344.826,1009,goal,0.1656,5.06293
257,494.117,349.640,2362,collision,0.1644,5.70411
258,235.489,346.546,2099,stuck,0.1633,4.53567
259,70.405,330.615,577,collision,0.1621,4.68761
260,347.208,329.857,499,goal,0.1610,3.71616
261,1452.185,364.142,4489,goal,0.1599,5.53885
262,598.084,369.034,1158,goal,0.1587,5.17215
263,1076.301,386.253,2494,goal,0.1576,4.80259
264,175.456,397.185,975,collision,0.1565,4.13426
265,28.041,391.877,246,collision,0.1554,5.22602
266,550.751,393.267,2145,collision,0.1543,4.28932
267,215.645,395.251,1302,collision,0.1533,5.03276
268,24.655,388.370,571,collision,0.1522,6.94807
269,1072.291,405.370,2614,goal,0.1511,4.32566
270,269.008,400.462,2119,goal,0.1501,6.31759
271,-65.911,389.555,600,stuck,0.1490,5.53783
272,-69.486,384.831,600,stuck,0.1480,6.46572
273,598.328,369.594,1456,goal,0.1469,6.19359
274,396.857,372.212,1294,collision,0.1459,5.03775
275,1034.096,383.624,4921,goal,0.1449,4.97102
276,793.802,398.727,1719,goal,0.1439,4.56731
277,1246.785,426.144,4005,goal,0.1429,4.64994
278,779.879,425.633,1737,goal,0.1419,5.62905
279,33.844,423.548,3772,stuck,0.1409,5.38106
280,15.506,423.811,2426,stuck,0.1399,4.17775
281,790.081,429.531,2221,goal,0.1389,4.49168
282,106.407,429.506,1121,stuck,0.1379,4.79432
283,21.090,421.457,244,collision,0.1370,4.99800
284,870.249,431.179,2443,goal,0.1360,6.30438
285,578.341,438.460,3145,stuck,0.1351,5.16659
286,395.118,438.938,697,goal,0.1341,4.32148
287,294.262,440.377,333,goal,0.1332,3.40685
288,1045.018,446.802,2640,goal,0.1322,6.26572
289,887.304,436.298,2159,goal,0.1313,5.84525
290,490.838,437.939,992,goal,0.1304,6.58916
291,363.496,439.558,778,goal,0.1295,4.42737
292,391.986,440.110,769,goal,0.1286,7.66834
293,1129.614,459.525,2720,goal,0.1277,5.56493
294,922.103,475.437,2025,goal,0.1268,5.62838
295,-93.877,454.137,1136,stuck,0.1259,4.26761
296,216.645,440.808,2392,stuck,0.1250,5.24177
297,435.351,447.900,2441,stuck,0.1241,6.24256
298,-372.331,438.728,778,collision,0.1233,7.34345
299,535.734,433.099,1902,collision,0.1224,5.05434
300,766.350,445.677,4018,stuck,0.1216,5.34832
301,-45.994,445.896,331,collision,0.1207,7.74631
302,1140.614,469.046,3030,goal,0.1199,5.82512
303,658.813,481.527,2216,goal,0.1190,4.80910
304,672.663,490.786,2360,collision,0.1182,5.17085
305,198.529,486.040,964,collision,0.1174,4.52708
306,1204.639,499.528,5799,collision,0.1165,5.35608
307,1067.203,510.989,2652,goal,0.1157,4.77146
308,987.565,526.031,3112,goal,0.1149,4.64908
309,818.889,541.000,1887,goal,0.1141,5.39997
310,1085.253,555.761,2638,goal,0.1133,5.52026
311,863.000,543.978,2140,goal,0.1125,5.23432
312,360.396,539.224,2845,stuck,0.1117,6.51554
313,741.808,532.534,2363,collision,0.1109,4.73597
314,463.872,538.302,4937,goal,0.1102,4.77559
315,1251.925,562.780,3126,goal,0.1094,5.98735
316,-37.272,551.020,806,stuck,0.1086,3.56343
317,718.151,561.070,2447,collision,0.1079,5.37105
318,217.744,564.931,716,collision,0.1071,8.77320
319,800.296,559.492,2516,goal,0.1064,5.24786
320,178.741,557.686,626,collision,0.1056,6.37006
321,219.867,563.402,1116,collision,0.1049,6.88287
322,62.121,566.034,843,collision,0.1041,5.66792
323,915.633,572.380,2833,goal,0.1034,6.18328
324,345.812,571.359,2525,goal,0.1027,6.86245
325,862.123,567.920,3211,goal,0.1020,6.21972
326,90.810,553.860,803,collision,0.1013,5.85593
327,120.479,531.334,1329,stuck,0.1006,8.98657
328,774.098,531.218,1873,goal,0.0999,4.36021
329,-1551.848,499.504,2754,stuck,0.0992,6.37483
330,496.787,509.130,918,goal,0.0985,4.64938
331,-19.014,492.948,2,collision,0.0978,0.45531
332,1356.887,517.958,3276,goal,0.0971,5.52019
333,-64.672,516.242,600,stuck,0.0964,4.49361
334,249.875,503.835,253,goal,0.0957,11.29086
335,-80.984,490.648,3568,stuck,0.0951,6.16198
336,93.548,484.617,1071,stuck,0.0944,5.51156
337,103.252,480.797,665,collision,0.0937,5.81714
338,376.684,467.430,723,goal,0.0931,4.05664
339,404.590,457.776,694,goal,0.0924,5.22988
340,-248.152,442.996,785,stuck,0.0918,3.42281
341,376.830,443.263,2281,stuck,0.0911,8.29975
342,1297.121,461.365,3190,goal,0.0905,5.69019
343,37.132,439.516,602,collision,0.0899,7.67964
344,89.901,422.872,432,collision,0.0892,5.29917
345,708.273,438.915,1493,goal,0.0886,7.57219
346,490.093,444.384,1194,goal,0.0880,7.42045
347,128.006,438.237,1618,collision,0.0874,6.69835
348,238.881,450.461,1380,stuck,0.0868,7.13780
349,87.627,441.499,1518,stuck,0.0862,8.57911
350,-56.877,425.034,600,stuck,0.0856,10.35345
351,1209.687,450.148,2989,goal,0.0850,8.24772
352,-141.960,424.496,447,collision,0.0844,3.16817
353,554.119,422.403,992,goal,0.0838,7.87498
354,411.297,417.175,1390,collision,0.0832,5.86547
355,1033.335,433.871,2456,goal,0.0826,5.91287
356,407.114,417.921,888,goal,0.0820,9.20241
357,1046.662,417.510,2338,goal,0.0814,4.91385
358,478.059,407.320,1987,collision,0.0809,6.72033
359,512.531,401.193,1514,collision,0.0803,3.72010
360,1379.395,407.076,3411,goal,0.0797,7.83391
361,625.447,402.325,2952,stuck,0.0792,6.03634
362,1151.487,418.146,3335,goal,0.0786,6.19730
363,1816.216,439.635,4365,goal,0.0781,7.39371
364,1927.224,468.902,4976,goal,0.0775,7.72540
365,348.769,450.839,1375,collision,0.0770,7.38858
366,286.876,457.321,1456,goal,0.0765,8.20779
367,127.726,445.513,571,collision,0.0759,5.98384
368,387.592,448.910,3017,goal,0.0754,6.52718
369,1182.397,456.552,2650,goal,0.0749,6.72767
370,236.977,457.717,1667,stuck,0.0743,6.49316
371,595.055,465.220,2496,stuck,0.0738,6.60618
372,758.640,479.151,2820,collision,0.0733,8.28804
373,409.893,469.036,1220,collision,0.0728,5.32083
374,1322.059,488.561,3807,goal,0.0723,7.05155
375,473.808,480.795,1989,stuck,0.0718,5.27273
376,447.397,487.926,2068,stuck,0.0713,5.72556
377,362.917,492.775,1736,collision,0.0708,5.16377
378,1091.836,499.130,3808,stuck,0.0703,6.72818
379,1609.084,562.349,3966,goal,0.0698,6.75635
380,85.185,554.117,595,collision,0.0693,7.81678
381,383.550,562.168,2129,stuck,0.0688,9.19289
382,108.997,537.210,1056,stuck,0.0683,5.50699
383,452.417,547.552,1332,goal,0.0679,6.74549
384,763.795,557.830,2129,goal,0.0674,6.87240
385,369.720,566.844,1875,stuck,0.0669,8.21773
386,620.540,577.384,1678,goal,0.0664,5.98409
387,573.711,586.793,1474,goal,0.0660,5.63944
388,269.476,584.649,950,collision,0.0655,9.21260
389,298.116,582.520,1031,collision,0.0651,7.43870
390,24.873,587.980,1164,stuck,0.0646,7.50072
391,406.114,588.566,655,goal,0.0641,7.47034
392,226.183,567.147,1421,stuck,0.0637,7.70372
393,400.555,574.415,1894,stuck,0.0632,6.05270
394,745.093,587.519,1744,goal,0.0628,8.60629
395,-148.856,570.377,2486,stuck,0.0624,5.12184
396,529.975,571.174,1887,collision,0.0619,4.38847
397,662.210,581.858,1845,goal,0.0615,7.84414
398,334.100,583.763,1113,collision,0.0611,5.89857
399,856.404,599.138,3066,stuck,0.0606,4.64663
400,960.438,619.485,4738,goal,0.0602,5.71634
401,461.665,604.524,2530,stuck,0.0598,4.97022
402,764.017,622.644,2789,stuck,0.0594,5.91129
403,-55.657,610.448,670,stuck,0.0590,4.72380
404,183.426,605.891,850,collision,0.0585,5.72055
405,397.580,593.176,1247,collision,0.0581,5.22934
406,-16.917,584.695,1739,stuck,0.0577,6.00955
407,292.990,569.622,2100,stuck,0.0573,7.15393
408,92.835,561.917,474,collision,0.0569,7.56285
409,56.507,552.797,3350,stuck,0.0565,6.23415
410,190.018,529.009,997,collision,0.0561,7.57088
411,918.388,534.868,2164,goal,0.0557,7.99111
412,717.391,526.186,2681,goal,0.0553,6.89813
413,840.999,506.682,2458,collision,0.0550,7.33759
414,198.885,472.115,815,collision,0.0546,7.59910
415,361.233,472.364,611,goal,0.0542,9.94922
416,127.447,469.176,1179,stuck,0.0538,4.79380
417,305.201,472.725,997,collision,0.0534,5.77481
