step,x,y,goal_x,goal_y
1,38.402,-21.998,22.300,8.300
2,38.405,-21.997,22.300,8.300
3,38.409,-21.994,22.300,8.300
4,38.414,-21.989,22.300,8.300
5,38.421,-21.984,22.300,8.300
6,38.429,-21.978,22.300,8.300
7,38.439,-21.971,22.300,8.300
8,38.450,-21.963,22.300,8.300
9,38.463,-21.954,22.300,8.300
10,38.476,-21.945,22.300,8.300
11,38.490,-21.936,22.300,8.300
12,38.504,-21.928,22.300,8.300
13,38.518,-21.920,22.300,8.300
14,38.532,-21.912,22.300,8.300
15,38.546,-21.905,22.300,8.300
16,38.560,-21.898,22.300,8.300
17,38.575,-21.891,22.300,8.300
18,38.588,-21.885,22.300,8.300
19,38.602,-21.879,22.300,8.300
20,38.616,-21.873,22.300,8.300
21,38.628,-21.867,22.300,8.300
22,38.638,-21.862,22.300,8.300
23,38.648,-21.858,22.300,8.300
24,38.655,-21.854,22.300,8.300
25,38.661,-21.852,22.300,8.300
26,38.665,-21.850,22.300,8.300
27,38.667,-21.850,22.300,8.300
28,38.667,-21.850,22.300,8.300
29,38.667,-21.850,22.300,8.300
30,38.669,-21.850,22.300,8.300
31,38.672,-21.850,22.300,8.300
32,38.677,-21.849,22.300,8.300
33,38.684,-21.847,22.300,8.300
34,38.691,-21.845,22.300,8.300
35,38.701,-21.842,22.300,8.300
36,38.712,-21.837,22.300,8.300
37,38.724,-21.832,22.300,8.300
38,38.738,-21.825,22.300,8.300
39,38.752,-21.818,22.300,8.300
40,38.766,-21.811,22.300,8.300
41,38.780,-21.803,22.300,8.300
42,38.794,-21.794,22.300,8.300
43,38.808,-21.786,22.300,8.300
44,38.821,-21.777,22.300,8.300
45,38.834,-21.768,22.300,8.300
46,38.848,-21.759,22.300,8.300
47,38.861,-21.749,22.300,8.300
48,38.874,-21.740,22.300,8.300
49,38.887,-21.730,22.300,8.300
50,38.900,-21.720,22.300,8.300
51,38.913,-21.711,22.300,8.300
52,38.927,-21.702,22.300,8.300
53,38.940,-21.692,22.300,8.300
54,38.953,-21.683,22.300,8.300
55,38.967,-21.675,22.300,8.300
56,38.981,-21.666,22.300,8.300
57,38.994,-21.658,22.300,8.300
