episode,reward,avg50,steps,done_reason,epsilon,loss
123,122.603,355.905,610,collision,0.4215,20.15290
124,170.869,353.587,1033,collision,0.4185,19.43543
125,608.312,368.442,1354,goal,0.4156,17.46643
126,714.084,379.081,1629,goal,0.4127,18.66058
127,72.215,372.921,640,collision,0.4098,24.71249
128,505.820,377.082,950,goal,0.4069,17.23423
129,16.580,364.858,194,collision,0.4041,12.58386
130,138.057,359.918,592,collision,0.4012,15.14637
131,-38.447,352.711,45,collision,0.3984,18.93439
132,702.953,357.055,1482,goal,0.3956,15.87223
133,637.946,369.724,1342,goal,0.3929,15.86247
134,534.021,380.259,957,goal,0.3901,18.32552
135,-23.737,369.218,274,collision,0.3874,11.44448
136,505.237,379.785,1534,collision,0.3847,12.22318
137,14.063,370.848,191,collision,0.3820,24.43486
138,-7.908,376.773,1014,collision,0.3793,17.62095
139,254.720,376.253,850,collision,0.3767,19.36126
140,47.292,384.315,408,collision,0.3740,25.33438
141,267.142,389.817,1348,collision,0.3714,14.27671
142,784.333,399.449,1937,goal,0.3688,14.16116
143,525.086,404.695,991,goal,0.3662,15.79639
144,282.687,397.248,1570,collision,0.3637,17.07234
145,71.570,392.657,663,collision,0.3611,17.13108
146,283.160,390.057,381,goal,0.3586,15.12100
147,623.300,396.467,1286,goal,0.3561,12.70416
148,559.773,403.836,1056,goal,0.3536,16.95708
149,382.554,398.046,583,goal,0.3511,12.07077
150,-468.362,384.078,904,collision,0.3486,16.69676
151,-20.000,377.436,1,collision,0.3462,0.30487
152,786.314,378.635,1737,goal,0.3438,15.44421
153,483.840,379.646,842,goal,0.3414,17.72595
154,1025.666,390.499,3105,goal,0.3390,15.38434
155,716.874,403.325,1575,goal,0.3366,13.92955
156,290.249,414.479,1213,collision,0.3343,18.42611
157,-17.662,398.351,3,collision,0.3319,0.30156
158,625.685,394.495,1485,goal,0.3296,16.02176
159,554.959,390.267,1546,goal,0.3273,14.84622
160,941.184,393.245,2063,goal,0.3250,13.93374
161,975.600,397.979,3516,goal,0.3227,18.06349
162,74.818,388.261,2006,stuck,0.3205,14.29822
163,316.906,381.818,1150,collision,0.3182,16.45438
164,120.810,374.387,599,collision,0.3160,16.72912
165,932.087,381.563,2073,goal,0.3138,13.22645
166,789.158,380.421,1790,goal,0.3116,12.92652
167,1067.639,400.914,2511,goal,0.3094,15.64676
168,-58.651,390.366,657,stuck,0.3072,17.55680
169,540.560,387.540,1014,goal,0.3051,14.07848
170,1051.645,401.045,2377,goal,0.3030,17.81110
171,1127.711,421.560,2626,goal,0.3008,14.53696
172,817.674,428.580,1695,goal,0.2987,14.33114
173,613.181,438.391,1277,goal,0.2966,11.64144
174,275.303,440.480,225,goal,0.2946,12.53748
175,778.983,443.893,1945,goal,0.2925,15.47092
176,845.855,446.529,1774,goal,0.2904,10.54408
177,741.699,459.919,1620,goal,0.2884,13.51806
178,272.075,455.244,903,collision,0.2864,12.83269
179,-227.451,450.363,1196,collision,0.2844,14.90846
180,534.515,458.292,2890,collision,0.2824,17.76691
181,1130.499,481.671,2611,goal,0.2804,14.97125
182,1069.943,489.011,2436,goal,0.2785,17.89036
183,781.847,491.889,1690,goal,0.2765,16.06476
184,-19.216,480.824,2316,stuck,0.2746,14.68682
185,871.603,498.731,2053,goal,0.2727,16.78740
186,114.636,490.919,483,collision,0.2707,19.43395
