step,x,y,goal_x,goal_y
177,2.373,2.401,15.800,15.100
178,2.387,2.416,15.800,15.100
179,2.401,2.430,15.800,15.100
180,2.415,2.444,15.800,15.100
181,2.428,2.458,15.800,15.100
182,2.442,2.473,15.800,15.100
183,2.456,2.487,15.800,15.100
184,2.470,2.501,15.800,15.100
185,2.484,2.515,15.800,15.100
186,2.497,2.530,15.800,15.100
187,2.511,2.544,15.800,15.100
188,2.525,2.558,15.800,15.100
189,2.539,2.572,15.800,15.100
190,2.553,2.587,15.800,15.100
191,2.567,2.601,15.800,15.100
192,2.580,2.615,15.800,15.100
193,2.594,2.629,15.800,15.100
194,2.608,2.644,15.800,15.100
195,2.622,2.658,15.800,15.100
196,2.636,2.672,15.800,15.100
197,2.649,2.687,15.800,15.100
198,2.663,2.701,15.800,15.100
199,2.677,2.715,15.800,15.100
200,2.691,2.729,15.800,15.100
201,2.705,2.744,15.800,15.100
202,2.719,2.758,15.800,15.100
203,2.732,2.772,15.800,15.100
204,2.746,2.786,15.800,15.100
205,2.760,2.801,15.800,15.100
206,2.773,2.813,15.800,15.100
207,2.784,2.825,15.800,15.100
208,2.795,2.835,15.800,15.100
209,2.804,2.844,15.800,15.100
210,2.812,2.852,15.800,15.100
211,2.819,2.859,15.800,15.100
212,2.826,2.867,15.800,15.100
213,2.835,2.876,15.800,15.100
214,2.844,2.887,15.800,15.100
215,2.854,2.900,15.800,15.100
216,2.866,2.914,15.800,15.100
217,2.878,2.929,15.800,15.100
218,2.891,2.944,15.800,15.100
219,2.903,2.960,15.800,15.100
220,2.916,2.975,15.800,15.100
221,2.928,2.990,15.800,15.100
222,2.941,3.006,15.800,15.100
223,2.953,3.021,15.800,15.100
224,2.966,3.036,15.800,15.100
225,2.978,3.052,15.800,15.100
226,2.991,3.067,15.800,15.100
227,3.003,3.082,15.800,15.100
228,3.016,3.098,15.800,15.100
229,3.028,3.113,15.800,15.100
230,3.041,3.128,15.800,15.100
231,3.053,3.144,15.800,15.100
232,3.066,3.159,15.800,15.100
233,3.078,3.174,15.800,15.100
234,3.091,3.190,15.800,15.100
235,3.103,3.205,15.800,15.100
236,3.116,3.220,15.800,15.100
237,3.128,3.235,15.800,15.100
238,3.141,3.251,15.800,15.100
239,3.153,3.266,15.800,15.100
240,3.166,3.281,15.800,15.100
241,3.178,3.297,15.800,15.100
242,3.191,3.312,15.800,15.100
243,3.203,3.327,15.800,15.100
244,3.216,3.343,15.800,15.100
245,3.228,3.358,15.800,15.100
246,3.240,3.373,15.800,15.100
247,3.253,3.388,15.800,15.100
248,3.265,3.404,15.800,15.100
249,3.278,3.419,15.800,15.100
250,3.290,3.434,15.800,15.100
251,3.303,3.450,15.800,15.100
252,3.315,3.465,15.800,15.100
253,3.328,3.480,15.800,15.100
254,3.340,3.495,15.800,15.100
255,3.352,3.511,15.800,15.100
256,3.365,3.526,15.800,15.100
257,3.377,3.541,15.800,15.100
258,3.390,3.557,15.800,15.100
259,3.402,3.572,15.800,15.100
260,3.415,3.587,15.800,15.100
261,3.427,3.602,15.800,15.100
262,3.440,3.618,15.800,15.100
263,3.452,3.633,15.800,15.100
264,3.464,3.648,15.800,15.100
265,3.477,3.663,15.800,15.100
266,3.489,3.679,15.800,15.100
267,3.502,3.694,15.800,15.100
268,3.514,3.709,15.800,15.100
269,3.527,3.725,15.800,15.100
270,3.539,3.740,15.800,15.100
271,3.551,3.755,15.800,15.100
272,3.564,3.770,15.800,15.100
273,3.576,3.786,15.800,15.100
274,3.589,3.801,15.800,15.100
275,3.601,3.816,15.800,15.100
276,3.614,3.831,15.800,15.100
277,3.626,3.847,15.800,15.100
278,3.639,3.862,15.800,15.100
279,3.651,3.877,15.800,15.100
280,3.663,3.893,15.800,15.100
281,3.676,3.908,15.800,15.100
282,3.688,3.923,15.800,15.100
283,3.701,3.938,15.800,15.100
284,3.713,3.954,15.800,15.100
285,3.726,3.969,15.800,15.100
286,3.738,3.984,15.800,15.100
287,3.750,3.999,15.800,15.100
288,3.763,4.015,15.800,15.100
289,3.775,4.030,15.800,15.100
290,3.788,4.045,15.800,15.100
291,3.800,4.060,15.800,15.100
292,3.813,4.076,15.800,15.100
293,3.825,4.091,15.800,15.100
294,3.838,4.106,15.800,15.100
295,3.850,4.122,15.800,15.100
296,3.862,4.137,15.800,15.100
297,3.875,4.152,15.800,15.100
298,3.887,4.167,15.800,15.100
299,3.900,4.183,15.800,15.100
300,3.912,4.198,15.800,15.100
301,3.925,4.213,15.800,15.100
302,3.937,4.228,15.800,15.100
303,3.949,4.244,15.800,15.100
304,3.962,4.259,15.800,15.100
305,3.974,4.274,15.800,15.100
306,3.987,4.290,15.800,15.100
307,3.999,4.305,15.800,15.100
308,4.012,4.320,15.800,15.100
309,4.024,4.335,15.800,15.100
310,4.037,4.351,15.800,15.100
311,4.049,4.366,15.800,15.100
312,4.061,4.381,15.800,15.100
313,4.074,4.396,15.800,15.100
314,4.086,4.412,15.800,15.100
315,4.099,4.427,15.800,15.100
316,4.111,4.442,15.800,15.100
317,4.124,4.458,15.800,15.100
318,4.136,4.473,15.800,15.100
319,4.149,4.488,15.800,15.100
320,4.161,4.503,15.800,15.100
321,4.173,4.519,15.800,15.100
322,4.186,4.534,15.800,15.100
323,4.198,4.549,15.800,15.100
324,4.211,4.564,15.800,15.100
325,4.223,4.580,15.800,15.100
326,4.236,4.595,15.800,15.100
327,4.248,4.610,15.800,15.100
328,4.260,4.626,15.800,15.100
329,4.273,4.641,15.800,15.100
330,4.285,4.656,15.800,15.100
331,4.298,4.671,15.800,15.100
332,4.310,4.687,15.800,15.100
333,4.323,4.702,15.800,15.100
334,4.335,4.717,15.800,15.100
335,4.347,4.732,15.800,15.100
336,4.360,4.748,15.800,15.100
337,4.372,4.763,15.800,15.100
338,4.385,4.778,15.800,15.100
339,4.397,4.794,15.800,15.100
340,4.410,4.809,15.800,15.100
341,4.422,4.824,15.800,15.100
342,4.435,4.839,15.800,15.100
343,4.447,4.855,15.800,15.100
344,4.459,4.870,15.800,15.100
345,4.472,4.885,15.800,15.100
346,4.484,4.900,15.800,15.100
347,4.497,4.916,15.800,15.100
348,4.509,4.931,15.800,15.100
349,4.522,4.946,15.800,15.100
350,4.534,4.962,15.800,15.100
351,4.547,4.977,15.800,15.100
352,4.559,4.992,15.800,15.100
353,4.571,5.007,15.800,15.100
354,4.584,5.023,15.800,15.100
355,4.596,5.038,15.800,15.100
356,4.609,5.053,15.800,15.100
357,4.621,5.069,15.800,15.100
358,4.634,5.084,15.800,15.100
359,4.646,5.099,15.800,15.100
360,4.659,5.114,15.800,15.100
361,4.671,5.130,15.800,15.100
362,4.683,5.145,15.800,15.100
363,4.696,5.160,15.800,15.100
364,4.708,5.176,15.800,15.100
365,4.721,5.191,15.800,15.100
366,4.733,5.206,15.800,15.100
367,4.746,5.221,15.800,15.100
368,4.758,5.237,15.800,15.100
369,4.771,5.252,15.800,15.100
370,4.783,5.267,15.800,15.100
371,4.796,5.283,15.800,15.100
372,4.808,5.298,15.800,15.100
373,4.820,5.313,15.800,15.100
374,4.833,5.328,15.800,15.100
375,4.845,5.344,15.800,15.100
376,4.858,5.359,15.800,15.100
377,4.870,5.374,15.800,15.100
378,4.883,5.390,15.800,15.100
379,4.895,5.405,15.800,15.100
380,4.908,5.420,15.800,15.100
381,4.920,5.435,15.800,15.100
382,4.933,5.451,15.800,15.100
383,4.945,5.466,15.800,15.100
384,4.958,5.481,15.800,15.100
385,4.970,5.497,15.800,15.100
386,4.982,5.512,15.800,15.100
387,4.995,5.527,15.800,15.100
388,5.007,5.542,15.800,15.100
389,5.020,5.558,15.800,15.100
390,5.032,5.573,15.800,15.100
391,5.045,5.588,15.800,15.100
392,5.057,5.604,15.800,15.100
393,5.070,5.619,15.800,15.100
394,5.082,5.634,15.800,15.100
395,5.095,5.649,15.800,15.100
396,5.107,5.665,15.800,15.100
397,5.120,5.680,15.800,15.100
398,5.132,5.695,15.800,15.100
399,5.144,5.711,15.800,15.100
400,5.157,5.726,15.800,15.100
401,5.169,5.741,15.800,15.100
402,5.182,5.757,15.800,15.100
403,5.194,5.772,15.800,15.100
404,5.207,5.787,15.800,15.100
405,5.219,5.802,15.800,15.100
406,5.232,5.818,15.800,15.100
407,5.244,5.833,15.800,15.100
408,5.257,5.848,15.800,15.100
409,5.269,5.864,15.800,15.100
410,5.282,5.879,15.800,15.100
411,5.294,5.894,15.800,15.100
412,5.306,5.909,15.800,15.100
413,5.319,5.925,15.800,15.100
414,5.331,5.940,15.800,15.100
415,5.344,5.955,15.800,15.100
416,5.356,5.971,15.800,15.100
417,5.369,5.986,15.800,15.100
418,5.381,6.001,15.800,15.100
419,5.394,6.016,15.800,15.100
420,5.406,6.032,15.800,15.100
421,5.419,6.047,15.800,15.100
422,5.431,6.062,15.800,15.100
423,5.444,6.078,15.800,15.100
424,5.456,6.093,15.800,15.100
425,5.468,6.108,15.800,15.100
426,5.481,6.124,15.800,15.100
427,5.493,6.139,15.800,15.100
428,5.506,6.154,15.800,15.100
429,5.518,6.169,15.800,15.100
430,5.531,6.185,15.800,15.100
431,5.543,6.200,15.800,15.100
432,5.556,6.215,15.800,15.100
433,5.568,6.231,15.800,15.100
434,5.581,6.246,15.800,15.100
435,5.593,6.261,15.800,15.100
436,5.606,6.276,15.800,15.100
437,5.618,6.292,15.800,15.100
438,5.630,6.307,15.800,15.100
439,5.643,6.322,15.800,15.100
440,5.655,6.338,15.800,15.100
441,5.668,6.353,15.800,15.100
442,5.680,6.368,15.800,15.100
443,5.693,6.383,15.800,15.100
444,5.705,6.399,15.800,15.100
445,5.718,6.414,15.800,15.100
446,5.730,6.429,15.800,15.100
447,5.743,6.445,15.800,15.100
448,5.755,6.460,15.800,15.100
449,5.767,6.475,15.800,15.100
450,5.780,6.490,15.800,15.100
451,5.792,6.506,15.800,15.100
452,5.805,6.521,15.800,15.100
453,5.817,6.536,15.800,15.100
454,5.830,6.552,15.800,15.100
455,5.842,6.567,15.800,15.100
456,5.855,6.582,15.800,15.100
457,5.867,6.598,15.800,15.100
458,5.880,6.613,15.800,15.100
459,5.892,6.628,15.800,15.100
460,5.905,6.643,15.800,15.100
461,5.917,6.659,15.800,15.100
462,5.929,6.674,15.800,15.100
463,5.942,6.689,15.800,15.100
464,5.954,6.705,15.800,15.100
465,5.967,6.720,15.800,15.100
466,5.979,6.735,15.800,15.100
467,5.992,6.750,15.800,15.100
468,6.004,6.766,15.800,15.100
469,6.017,6.781,15.800,15.100
470,6.029,6.796,15.800,15.100
471,6.042,6.812,15.800,15.100
472,6.054,6.827,15.800,15.100
473,6.067,6.842,15.800,15.100
474,6.079,6.858,15.800,15.100
475,6.092,6.873,15.800,15.100
476,6.104,6.888,15.800,15.100
477,6.116,6.903,15.800,15.100
478,6.129,6.919,15.800,15.100
479,6.141,6.934,15.800,15.100
480,6.154,6.949,15.800,15.100
481,6.166,6.965,15.800,15.100
482,6.179,6.980,15.800,15.100
483,6.191,6.995,15.800,15.100
484,6.204,7.011,15.800,15.100
485,6.217,7.026,15.800,15.100
486,6.229,7.041,15.800,15.100
487,6.242,7.057,15.800,15.100
488,6.255,7.072,15.800,15.100
489,6.267,7.087,15.800,15.100
490,6.280,7.103,15.800,15.100
491,6.292,7.118,15.800,15.100
492,6.305,7.133,15.800,15.100
493,6.317,7.149,15.800,15.100
494,6.330,7.164,15.800,15.100
495,6.342,7.180,15.800,15.100
496,6.355,7.195,15.800,15.100
497,6.367,7.210,15.800,15.100
498,6.380,7.226,15.800,15.100
499,6.393,7.241,15.800,15.100
500,6.405,7.256,15.800,15.100
501,6.418,7.272,15.800,15.100
502,6.430,7.287,15.800,15.100
503,6.443,7.302,15.800,15.100
504,6.456,7.318,15.800,15.100
505,6.468,7.333,15.800,15.100
506,6.481,7.348,15.800,15.100
507,6.493,7.364,15.800,15.100
508,6.506,7.379,15.800,15.100
509,6.519,7.394,15.800,15.100
510,6.531,7.410,15.800,15.100
511,6.544,7.425,15.800,15.100
512,6.557,7.440,15.800,15.100
513,6.569,7.456,15.800,15.100
514,6.582,7.471,15.800,15.100
515,6.594,7.486,15.800,15.100
516,6.607,7.502,15.800,15.100
517,6.620,7.517,15.800,15.100
518,6.632,7.532,15.800,15.100
519,6.645,7.547,15.800,15.100
520,6.657,7.563,15.800,15.100
521,6.670,7.578,15.800,15.100
522,6.683,7.593,15.800,15.100
523,6.695,7.609,15.800,15.100
524,6.708,7.624,15.800,15.100
525,6.720,7.639,15.800,15.100
526,6.733,7.655,15.800,15.100
527,6.746,7.670,15.800,15.100
528,6.758,7.685,15.800,15.100
529,6.771,7.701,15.800,15.100
530,6.784,7.716,15.800,15.100
531,6.796,7.731,15.800,15.100
532,6.809,7.747,15.800,15.100
533,6.821,7.762,15.800,15.100
534,6.834,7.777,15.800,15.100
535,6.847,7.793,15.800,15.100
536,6.859,7.808,15.800,15.100
537,6.872,7.823,15.800,15.100
538,6.884,7.839,15.800,15.100
539,6.897,7.854,15.800,15.100
540,6.910,7.869,15.800,15.100
541,6.922,7.885,15.800,15.100
542,6.935,7.900,15.800,15.100
543,6.948,7.915,15.800,15.100
544,6.960,7.931,15.800,15.100
545,6.973,7.946,15.800,15.100
546,6.986,7.961,15.800,15.100
547,6.998,7.976,15.800,15.100
548,7.011,7.992,15.800,15.100
549,7.024,8.007,15.800,15.100
550,7.036,8.022,15.800,15.100
551,7.049,8.038,15.800,15.100
552,7.062,8.053,15.800,15.100
553,7.074,8.068,15.800,15.100
554,7.087,8.083,15.800,15.100
555,7.100,8.099,15.800,15.100
556,7.112,8.114,15.800,15.100
557,7.125,8.129,15.800,15.100
558,7.138,8.145,15.800,15.100
559,7.150,8.160,15.800,15.100
560,7.163,8.175,15.800,15.100
561,7.176,8.190,15.800,15.100
562,7.188,8.206,15.800,15.100
563,7.201,8.221,15.800,15.100
564,7.214,8.236,15.800,15.100
565,7.226,8.252,15.800,15.100
566,7.239,8.267,15.800,15.100
567,7.252,8.282,15.800,15.100
568,7.264,8.297,15.800,15.100
569,7.277,8.313,15.800,15.100
570,7.289,8.328,15.800,15.100
571,7.302,8.343,15.800,15.100
572,7.315,8.359,15.800,15.100
573,7.327,8.374,15.800,15.100
574,7.340,8.389,15.800,15.100
575,7.353,8.404,15.800,15.100
576,7.365,8.420,15.800,15.100
577,7.378,8.435,15.800,15.100
578,7.391,8.450,15.800,15.100
579,7.403,8.466,15.800,15.100
580,7.416,8.481,15.800,15.100
581,7.429,8.496,15.800,15.100
582,7.441,8.511,15.800,15.100
583,7.454,8.527,15.800,15.100
584,7.466,8.542,15.800,15.100
585,7.479,8.557,15.800,15.100
586,7.492,8.573,15.800,15.100
587,7.504,8.588,15.800,15.100
588,7.517,8.603,15.800,15.100
589,7.530,8.619,15.800,15.100
590,7.542,8.634,15.800,15.100
591,7.555,8.649,15.800,15.100
592,7.568,8.664,15.800,15.100
593,7.580,8.680,15.800,15.100
594,7.593,8.695,15.800,15.100
595,7.605,8.710,15.800,15.100
596,7.618,8.726,15.800,15.100
597,7.631,8.741,15.800,15.100
598,7.643,8.756,15.800,15.100
599,7.656,8.771,15.800,15.100
600,7.669,8.787,15.800,15.100
601,7.681,8.802,15.800,15.100
602,7.694,8.817,15.800,15.100
603,7.707,8.833,15.800,15.100
604,7.719,8.848,15.800,15.100
605,7.732,8.863,15.800,15.100
606,7.745,8.878,15.800,15.100
607,7.757,8.894,15.800,15.100
608,7.770,8.909,15.800,15.100
609,7.782,8.924,15.800,15.100
610,7.795,8.940,15.800,15.100
611,7.808,8.955,15.800,15.100
612,7.820,8.970,15.800,15.100
613,7.833,8.986,15.800,15.100
614,7.846,9.001,15.800,15.100
615,7.858,9.016,15.800,15.100
616,7.871,9.031,15.800,15.100
617,7.884,9.047,15.800,15.100
618,7.896,9.062,15.800,15.100
619,7.909,9.077,15.800,15.100
620,7.921,9.093,15.800,15.100
621,7.934,9.108,15.800,15.100
622,7.947,9.123,15.800,15.100
623,7.959,9.138,15.800,15.100
624,7.972,9.154,15.800,15.100
625,7.985,9.169,15.800,15.100
626,7.997,9.184,15.800,15.100
627,8.010,9.200,15.800,15.100
628,8.023,9.215,15.800,15.100
629,8.035,9.230,15.800,15.100
630,8.048,9.245,15.800,15.100
631,8.060,9.261,15.800,15.100
632,8.073,9.276,15.800,15.100
633,8.086,9.291,15.800,15.100
634,8.098,9.306,15.800,15.100
635,8.111,9.322,15.800,15.100
636,8.124,9.337,15.800,15.100
637,8.136,9.352,15.800,15.100
638,8.149,9.368,15.800,15.100
639,8.162,9.383,15.800,15.100
640,8.174,9.398,15.800,15.100
641,8.187,9.413,15.800,15.100
642,8.199,9.429,15.800,15.100
643,8.212,9.444,15.800,15.100
644,8.225,9.459,15.800,15.100
645,8.237,9.475,15.800,15.100
646,8.250,9.490,15.800,15.100
647,8.263,9.505,15.800,15.100
648,8.275,9.520,15.800,15.100
649,8.288,9.536,15.800,15.100
650,8.301,9.551,15.800,15.100
651,8.313,9.566,15.800,15.100
652,8.326,9.582,15.800,15.100
653,8.337,9.596,15.800,15.100
654,8.350,9.611,15.800,15.100
655,8.362,9.625,15.800,15.100
656,8.374,9.640,15.800,15.100
657,8.386,9.654,15.800,15.100
658,8.396,9.667,15.800,15.100
659,8.408,9.680,15.800,15.100
660,8.419,9.693,15.800,15.100
661,8.429,9.706,15.800,15.100
662,8.441,9.719,15.800,15.100
663,8.452,9.731,15.800,15.100
664,8.464,9.745,15.800,15.100
665,8.475,9.757,15.800,15.100
666,8.487,9.770,15.800,15.100
667,8.498,9.782,15.800,15.100
668,8.510,9.794,15.800,15.100
669,8.521,9.806,15.800,15.100
670,8.534,9.819,15.800,15.100
671,8.546,9.831,15.800,15.100
672,8.559,9.843,15.800,15.100
673,8.573,9.857,15.800,15.100
674,8.586,9.869,15.800,15.100
675,8.599,9.881,15.800,15.100
676,8.612,9.893,15.800,15.100
677,8.625,9.903,15.800,15.100
678,8.638,9.914,15.800,15.100
679,8.652,9.926,15.800,15.100
680,8.665,9.936,15.800,15.100
681,8.678,9.946,15.800,15.100
682,8.691,9.956,15.800,15.100
683,8.704,9.965,15.800,15.100
684,8.718,9.974,15.800,15.100
685,8.732,9.984,15.800,15.100
686,8.748,9.994,15.800,15.100
687,8.765,10.005,15.800,15.100
688,8.781,10.016,15.800,15.100
689,8.798,10.026,15.800,15.100
690,8.814,10.036,15.800,15.100
691,8.831,10.046,15.800,15.100
692,8.847,10.056,15.800,15.100
693,8.864,10.066,15.800,15.100
694,8.882,10.076,15.800,15.100
695,8.898,10.086,15.800,15.100
696,8.915,10.096,15.800,15.100
697,8.933,10.106,15.800,15.100
698,8.950,10.115,15.800,15.100
699,8.968,10.125,15.800,15.100
700,8.984,10.134,15.800,15.100
701,8.998,10.142,15.800,15.100
702,9.012,10.150,15.800,15.100
703,9.026,10.159,15.800,15.100
704,9.040,10.167,15.800,15.100
705,9.056,10.175,15.800,15.100
706,9.074,10.185,15.800,15.100
707,9.092,10.193,15.800,15.100
708,9.108,10.201,15.800,15.100
709,9.124,10.209,15.800,15.100
710,9.140,10.217,15.800,15.100
711,9.159,10.225,15.800,15.100
712,9.177,10.232,15.800,15.100
713,9.195,10.239,15.800,15.100
714,9.212,10.246,15.800,15.100
715,9.231,10.254,15.800,15.100
716,9.248,10.261,15.800,15.100
717,9.266,10.269,15.800,15.100
718,9.283,10.276,15.800,15.100
719,9.299,10.282,15.800,15.100
720,9.316,10.289,15.800,15.100
721,9.334,10.296,15.800,15.100
722,9.351,10.302,15.800,15.100
723,9.370,10.309,15.800,15.100
724,9.387,10.315,15.800,15.100
725,9.403,10.321,15.800,15.100
726,9.420,10.327,15.800,15.100
727,9.439,10.333,15.800,15.100
728,9.457,10.339,15.800,15.100
729,9.476,10.345,15.800,15.100
730,9.493,10.350,15.800,15.100
731,9.509,10.356,15.800,15.100
732,9.527,10.361,15.800,15.100
733,9.546,10.366,15.800,15.100
734,9.565,10.371,15.800,15.100
735,9.584,10.376,15.800,15.100
736,9.604,10.381,15.800,15.100
737,9.623,10.385,15.800,15.100
738,9.642,10.390,15.800,15.100
739,9.662,10.395,15.800,15.100
740,9.681,10.399,15.800,15.100
741,9.700,10.404,15.800,15.100
742,9.719,10.409,15.800,15.100
743,9.739,10.413,15.800,15.100
744,9.758,10.418,15.800,15.100
745,9.777,10.423,15.800,15.100
746,9.796,10.427,15.800,15.100
747,9.816,10.432,15.800,15.100
748,9.835,10.437,15.800,15.100
749,9.854,10.441,15.800,15.100
750,9.874,10.446,15.800,15.100
751,9.893,10.451,15.800,15.100
752,9.912,10.455,15.800,15.100
753,9.931,10.460,15.800,15.100
754,9.951,10.465,15.800,15.100
755,9.970,10.469,15.800,15.100
756,9.989,10.474,15.800,15.100
757,10.008,10.479,15.800,15.100
758,10.028,10.483,15.800,15.100
759,10.047,10.488,15.800,15.100
760,10.066,10.493,15.800,15.100
761,10.086,10.497,15.800,15.100
762,10.105,10.502,15.800,15.100
763,10.124,10.507,15.800,15.100
764,10.143,10.511,15.800,15.100
765,10.163,10.516,15.800,15.100
766,10.180,10.521,15.800,15.100
