step,x,y,goal_x,goal_y
160,-35.750,-20.020,21.200,12.700
161,-35.750,-20.020,21.200,12.700
162,-35.750,-20.020,21.200,12.700
163,-35.750,-20.020,21.200,12.700
164,-35.750,-20.020,21.200,12.700
165,-35.750,-20.020,21.200,12.700
166,-35.750,-20.020,21.200,12.700
167,-35.750,-20.020,21.200,12.700
168,-35.750,-20.021,21.200,12.700
169,-35.750,-20.021,21.200,12.700
170,-35.750,-20.021,21.200,12.700
171,-35.750,-20.022,21.200,12.700
172,-35.750,-20.023,21.200,12.700
173,-35.750,-20.023,21.200,12.700
174,-35.750,-20.023,21.200,12.700
175,-35.749,-20.022,21.200,12.700
176,-35.749,-20.022,21.200,12.700
177,-35.749,-20.022,21.200,12.700
178,-35.749,-20.022,21.200,12.700
179,-35.749,-20.022,21.200,12.700
180,-35.749,-20.022,21.200,12.700
181,-35.750,-20.022,21.200,12.700
182,-35.750,-20.022,21.200,12.700
183,-35.750,-20.022,21.200,12.700
184,-35.750,-20.022,21.200,12.700
185,-35.750,-20.022,21.200,12.700
186,-35.750,-20.022,21.200,12.700
187,-35.750,-20.022,21.200,12.700
188,-35.751,-20.022,21.200,12.700
189,-35.751,-20.022,21.200,12.700
190,-35.751,-20.022,21.200,12.700
191,-35.752,-20.022,21.200,12.700
192,-35.752,-20.022,21.200,12.700
193,-35.752,-20.022,21.200,12.700
194,-35.752,-20.022,21.200,12.700
195,-35.751,-20.020,21.200,12.700
196,-35.749,-20.018,21.200,12.700
197,-35.748,-20.016,21.200,12.700
198,-35.748,-20.016,21.200,12.700
199,-35.748,-20.015,21.200,12.700
200,-35.748,-20.015,21.200,12.700
201,-35.748,-20.015,21.200,12.700
202,-35.748,-20.015,21.200,12.700
203,-35.748,-20.015,21.200,12.700
204,-35.748,-20.015,21.200,12.700
205,-35.748,-20.015,21.200,12.700
206,-35.748,-20.015,21.200,12.700
207,-35.748,-20.015,21.200,12.700
208,-35.748,-20.015,21.200,12.700
209,-35.748,-20.016,21.200,12.700
210,-35.748,-20.016,21.200,12.700
211,-35.748,-20.017,21.200,12.700
212,-35.748,-20.017,21.200,12.700
213,-35.747,-20.015,21.200,12.700
214,-35.745,-20.013,21.200,12.700
215,-35.744,-20.011,21.200,12.700
216,-35.744,-20.011,21.200,12.700
217,-35.744,-20.011,21.200,12.700
218,-35.744,-20.011,21.200,12.700
219,-35.744,-20.011,21.200,12.700
220,-35.744,-20.011,21.200,12.700
221,-35.744,-20.011,21.200,12.700
222,-35.744,-20.011,21.200,12.700
223,-35.744,-20.011,21.200,12.700
224,-35.744,-20.011,21.200,12.700
225,-35.744,-20.011,21.200,12.700
226,-35.744,-20.011,21.200,12.700
227,-35.743,-20.010,21.200,12.700
228,-35.741,-20.007,21.200,12.700
229,-35.740,-20.005,21.200,12.700
230,-35.740,-20.005,21.200,12.700
231,-35.740,-20.004,21.200,12.700
232,-35.740,-20.004,21.200,12.700
233,-35.740,-20.004,21.200,12.700
234,-35.740,-20.004,21.200,12.700
235,-35.740,-20.004,21.200,12.700
236,-35.740,-20.004,21.200,12.700
237,-35.740,-20.004,21.200,12.700
238,-35.740,-20.004,21.200,12.700
239,-35.740,-20.004,21.200,12.700
240,-35.740,-20.005,21.200,12.700
241,-35.740,-20.005,21.200,12.700
242,-35.740,-20.005,21.200,12.700
243,-35.740,-20.005,21.200,12.700
244,-35.740,-20.006,21.200,12.700
245,-35.739,-20.004,21.200,12.700
246,-35.739,-20.004,21.200,12.700
247,-35.739,-20.004,21.200,12.700
248,-35.739,-20.004,21.200,12.700
249,-35.739,-20.004,21.200,12.700
250,-35.739,-20.004,21.200,12.700
251,-35.739,-20.004,21.200,12.700
252,-35.739,-20.004,21.200,12.700
253,-35.739,-20.004,21.200,12.700
254,-35.740,-20.004,21.200,12.700
255,-35.740,-20.004,21.200,12.700
256,-35.740,-20.004,21.200,12.700
257,-35.740,-20.004,21.200,12.700
258,-35.740,-20.004,21.200,12.700
259,-35.740,-20.004,21.200,12.700
260,-35.739,-20.003,21.200,12.700
261,-35.739,-20.002,21.200,12.700
262,-35.739,-20.002,21.200,12.700
263,-35.739,-20.002,21.200,12.700
264,-35.739,-20.002,21.200,12.700
265,-35.739,-20.001,21.200,12.700
266,-35.739,-20.001,21.200,12.700
267,-35.739,-20.001,21.200,12.700
268,-35.739,-20.001,21.200,12.700
269,-35.739,-20.001,21.200,12.700
270,-35.739,-20.001,21.200,12.700
271,-35.739,-20.002,21.200,12.700
272,-35.739,-20.002,21.200,12.700
273,-35.739,-20.002,21.200,12.700
274,-35.739,-20.002,21.200,12.700
275,-35.739,-20.003,21.200,12.700
276,-35.739,-20.003,21.200,12.700
277,-35.738,-20.001,21.200,12.700
278,-35.738,-20.001,21.200,12.700
279,-35.738,-20.001,21.200,12.700
280,-35.738,-20.001,21.200,12.700
281,-35.738,-20.001,21.200,12.700
282,-35.738,-20.001,21.200,12.700
283,-35.738,-20.001,21.200,12.700
284,-35.738,-20.001,21.200,12.700
285,-35.738,-20.001,21.200,12.700
286,-35.739,-20.001,21.200,12.700
287,-35.739,-20.001,21.200,12.700
288,-35.739,-20.001,21.200,12.700
289,-35.739,-20.001,21.200,12.700
290,-35.739,-20.001,21.200,12.700
291,-35.739,-20.001,21.200,12.700
292,-35.740,-20.001,21.200,12.700
293,-35.739,-20.000,21.200,12.700
294,-35.738,-19.999,21.200,12.700
295,-35.738,-19.999,21.200,12.700
296,-35.738,-19.999,21.200,12.700
297,-35.738,-19.999,21.200,12.700
298,-35.738,-19.998,21.200,12.700
299,-35.738,-19.998,21.200,12.700
300,-35.738,-19.998,21.200,12.700
301,-35.738,-19.998,21.200,12.700
302,-35.738,-19.998,21.200,12.700
303,-35.738,-19.998,21.200,12.700
304,-35.738,-19.999,21.200,12.700
305,-35.738,-19.999,21.200,12.700
306,-35.738,-19.999,21.200,12.700
307,-35.738,-19.999,21.200,12.700
308,-35.738,-20.000,21.200,12.700
309,-35.738,-20.000,21.200,12.700
310,-35.737,-19.998,21.200,12.700
311,-35.737,-19.998,21.200,12.700
312,-35.737,-19.998,21.200,12.700
313,-35.737,-19.998,21.200,12.700
314,-35.738,-19.998,21.200,12.700
315,-35.738,-19.998,21.200,12.700
316,-35.738,-19.998,21.200,12.700
317,-35.738,-19.998,21.200,12.700
318,-35.738,-19.998,21.200,12.700
319,-35.738,-19.998,21.200,12.700
320,-35.738,-19.998,21.200,12.700
321,-35.738,-19.998,21.200,12.700
322,-35.738,-19.998,21.200,12.700
323,-35.739,-19.998,21.200,12.700
324,-35.739,-19.998,21.200,12.700
325,-35.739,-19.998,21.200,12.700
