step,x,y,goal_x,goal_y
1,-0.002,-0.000,-44.800,-7.000
2,-0.005,-0.001,-44.800,-7.000
3,-0.010,-0.002,-44.800,-7.000
4,-0.017,-0.003,-44.800,-7.000
5,-0.026,-0.004,-44.800,-7.000
6,-0.036,-0.006,-44.800,-7.000
7,-0.048,-0.007,-44.800,-7.000
8,-0.062,-0.010,-44.800,-7.000
9,-0.077,-0.012,-44.800,-7.000
10,-0.094,-0.015,-44.800,-7.000
11,-0.113,-0.018,-44.800,-7.000
12,-0.133,-0.021,-44.800,-7.000
13,-0.152,-0.024,-44.800,-7.000
14,-0.172,-0.027,-44.800,-7.000
15,-0.191,-0.030,-44.800,-7.000
16,-0.211,-0.033,-44.800,-7.000
17,-0.231,-0.036,-44.800,-7.000
18,-0.250,-0.039,-44.800,-7.000
19,-0.270,-0.042,-44.800,-7.000
20,-0.290,-0.045,-44.800,-7.000
21,-0.309,-0.048,-44.800,-7.000
22,-0.329,-0.051,-44.800,-7.000
23,-0.348,-0.054,-44.800,-7.000
24,-0.368,-0.057,-44.800,-7.000
25,-0.388,-0.061,-44.800,-7.000
26,-0.407,-0.064,-44.800,-7.000
27,-0.427,-0.067,-44.800,-7.000
28,-0.446,-0.070,-44.800,-7.000
29,-0.466,-0.073,-44.800,-7.000
30,-0.485,-0.076,-44.800,-7.000
31,-0.503,-0.079,-44.800,-7.000
32,-0.519,-0.083,-44.800,-7.000
33,-0.535,-0.087,-44.800,-7.000
34,-0.552,-0.088,-44.800,-7.000
35,-0.568,-0.090,-44.800,-7.000
36,-0.584,-0.093,-44.800,-7.000
37,-0.602,-0.095,-44.800,-7.000
38,-0.621,-0.098,-44.800,-7.000
39,-0.641,-0.101,-44.800,-7.000
40,-0.661,-0.103,-44.800,-7.000
41,-0.679,-0.104,-44.800,-7.000
42,-0.695,-0.105,-44.800,-7.000
43,-0.713,-0.105,-44.800,-7.000
44,-0.732,-0.106,-44.800,-7.000
45,-0.752,-0.107,-44.800,-7.000
46,-0.772,-0.108,-44.800,-7.000
47,-0.792,-0.108,-44.800,-7.000
48,-0.812,-0.109,-44.800,-7.000
49,-0.831,-0.110,-44.800,-7.000
50,-0.851,-0.111,-44.800,-7.000
51,-0.871,-0.112,-44.800,-7.000
52,-0.891,-0.113,-44.800,-7.000
53,-0.911,-0.114,-44.800,-7.000
54,-0.931,-0.114,-44.800,-7.000
55,-0.950,-0.115,-44.800,-7.000
56,-0.970,-0.116,-44.800,-7.000
57,-0.990,-0.117,-44.800,-7.000
58,-1.010,-0.118,-44.800,-7.000
59,-1.030,-0.119,-44.800,-7.000
60,-1.050,-0.119,-44.800,-7.000
61,-1.069,-0.120,-44.800,-7.000
62,-1.089,-0.121,-44.800,-7.000
63,-1.109,-0.122,-44.800,-7.000
64,-1.129,-0.123,-44.800,-7.000
65,-1.149,-0.124,-44.800,-7.000
66,-1.169,-0.124,-44.800,-7.000
67,-1.188,-0.125,-44.800,-7.000
68,-1.208,-0.126,-44.800,-7.000
69,-1.228,-0.127,-44.800,-7.000
70,-1.248,-0.128,-44.800,-7.000
71,-1.268,-0.129,-44.800,-7.000
72,-1.288,-0.129,-44.800,-7.000
73,-1.307,-0.130,-44.800,-7.000
74,-1.327,-0.131,-44.800,-7.000
75,-1.347,-0.132,-44.800,-7.000
76,-1.367,-0.133,-44.800,-7.000
77,-1.387,-0.134,-44.800,-7.000
78,-1.407,-0.135,-44.800,-7.000
79,-1.427,-0.135,-44.800,-7.000
80,-1.446,-0.136,-44.800,-7.000
81,-1.466,-0.137,-44.800,-7.000
82,-1.486,-0.138,-44.800,-7.000
83,-1.506,-0.139,-44.800,-7.000
84,-1.526,-0.140,-44.800,-7.000
85,-1.546,-0.140,-44.800,-7.000
86,-1.565,-0.141,-44.800,-7.000
87,-1.585,-0.142,-44.800,-7.000
88,-1.605,-0.143,-44.800,-7.000
89,-1.625,-0.144,-44.800,-7.000
90,-1.645,-0.145,-44.800,-7.000
91,-1.665,-0.145,-44.800,-7.000
92,-1.684,-0.146,-44.800,-7.000
93,-1.704,-0.147,-44.800,-7.000
94,-1.724,-0.148,-44.800,-7.000
95,-1.744,-0.149,-44.800,-7.000
96,-1.764,-0.150,-44.800,-7.000
97,-1.784,-0.150,-44.800,-7.000
98,-1.803,-0.151,-44.800,-7.000
99,-1.823,-0.152,-44.800,-7.000
100,-1.843,-0.153,-44.800,-7.000
101,-1.863,-0.154,-44.800,-7.000
102,-1.883,-0.155,-44.800,-7.000
103,-1.903,-0.155,-44.800,-7.000
104,-1.922,-0.156,-44.800,-7.000
105,-1.942,-0.157,-44.800,-7.000
106,-1.962,-0.158,-44.800,-7.000
107,-1.982,-0.159,-44.800,-7.000
108,-2.002,-0.160,-44.800,-7.000
109,-2.022,-0.161,-44.800,-7.000
110,-2.042,-0.161,-44.800,-7.000
111,-2.061,-0.162,-44.800,-7.000
112,-2.081,-0.163,-44.800,-7.000
113,-2.101,-0.164,-44.800,-7.000
114,-2.121,-0.165,-44.800,-7.000
115,-2.141,-0.166,-44.800,-7.000
116,-2.161,-0.166,-44.800,-7.000
117,-2.180,-0.167,-44.800,-7.000
118,-2.200,-0.168,-44.800,-7.000
119,-2.220,-0.169,-44.800,-7.000
120,-2.240,-0.170,-44.800,-7.000
121,-2.260,-0.171,-44.800,-7.000
122,-2.280,-0.171,-44.800,-7.000
123,-2.299,-0.172,-44.800,-7.000
124,-2.319,-0.173,-44.800,-7.000
125,-2.339,-0.174,-44.800,-7.000
126,-2.359,-0.175,-44.800,-7.000
127,-2.379,-0.176,-44.800,-7.000
128,-2.399,-0.176,-44.800,-7.000
129,-2.418,-0.177,-44.800,-7.000
130,-2.438,-0.178,-44.800,-7.000
131,-2.458,-0.179,-44.800,-7.000
132,-2.478,-0.180,-44.800,-7.000
133,-2.498,-0.181,-44.800,-7.000
134,-2.518,-0.182,-44.800,-7.000
135,-2.537,-0.182,-44.800,-7.000
136,-2.557,-0.183,-44.800,-7.000
137,-2.577,-0.184,-44.800,-7.000
138,-2.597,-0.185,-44.800,-7.000
139,-2.617,-0.186,-44.800,-7.000
140,-2.637,-0.187,-44.800,-7.000
141,-2.657,-0.187,-44.800,-7.000
142,-2.676,-0.188,-44.800,-7.000
143,-2.696,-0.189,-44.800,-7.000
144,-2.716,-0.190,-44.800,-7.000
145,-2.736,-0.191,-44.800,-7.000
146,-2.756,-0.192,-44.800,-7.000
147,-2.776,-0.192,-44.800,-7.000
148,-2.795,-0.193,-44.800,-7.000
149,-2.815,-0.194,-44.800,-7.000
150,-2.835,-0.195,-44.800,-7.000
151,-2.855,-0.196,-44.800,-7.000
152,-2.875,-0.197,-44.800,-7.000
153,-2.895,-0.197,-44.800,-7.000
