step,x,y,goal_x,goal_y
145,-2.395,-19.919,-26.833,-30.672
146,-2.410,-19.932,-26.833,-30.672
147,-2.425,-19.945,-26.833,-30.672
148,-2.440,-19.958,-26.833,-30.672
149,-2.455,-19.971,-26.833,-30.672
150,-2.470,-19.984,-26.833,-30.672
151,-2.485,-19.997,-26.833,-30.672
152,-2.500,-20.010,-26.833,-30.672
153,-2.515,-20.023,-26.833,-30.672
154,-2.530,-20.036,-26.833,-30.672
155,-2.546,-20.048,-26.833,-30.672
156,-2.561,-20.061,-26.833,-30.672
157,-2.576,-20.074,-26.833,-30.672
158,-2.591,-20.087,-26.833,-30.672
159,-2.606,-20.100,-26.833,-30.672
160,-2.621,-20.113,-26.833,-30.672
161,-2.636,-20.126,-26.833,-30.672
162,-2.651,-20.139,-26.833,-30.672
163,-2.666,-20.152,-26.833,-30.672
164,-2.681,-20.165,-26.833,-30.672
165,-2.696,-20.178,-26.833,-30.672
166,-2.711,-20.191,-26.833,-30.672
167,-2.726,-20.204,-26.833,-30.672
168,-2.741,-20.216,-26.833,-30.672
169,-2.756,-20.229,-26.833,-30.672
170,-2.770,-20.241,-26.833,-30.672
171,-2.783,-20.252,-26.833,-30.672
172,-2.795,-20.262,-26.833,-30.672
173,-2.807,-20.273,-26.833,-30.672
174,-2.819,-20.283,-26.833,-30.672
175,-2.832,-20.294,-26.833,-30.672
176,-2.845,-20.306,-26.833,-30.672
177,-2.857,-20.317,-26.833,-30.672
178,-2.869,-20.328,-26.833,-30.672
179,-2.881,-20.341,-26.833,-30.672
180,-2.893,-20.354,-26.833,-30.672
181,-2.905,-20.369,-26.833,-30.672
182,-2.917,-20.382,-26.833,-30.672
183,-2.929,-20.394,-26.833,-30.672
184,-2.940,-20.405,-26.833,-30.672
185,-2.952,-20.418,-26.833,-30.672
186,-2.963,-20.432,-26.833,-30.672
187,-2.974,-20.447,-26.833,-30.672
188,-2.986,-20.463,-26.833,-30.672
189,-2.997,-20.478,-26.833,-30.672
190,-3.009,-20.494,-26.833,-30.672
191,-3.021,-20.510,-26.833,-30.672
192,-3.034,-20.525,-26.833,-30.672
193,-3.046,-20.541,-26.833,-30.672
194,-3.058,-20.556,-26.833,-30.672
195,-3.070,-20.572,-26.833,-30.672
196,-3.083,-20.588,-26.833,-30.672
197,-3.095,-20.603,-26.833,-30.672
198,-3.107,-20.619,-26.833,-30.672
199,-3.118,-20.633,-26.833,-30.672
200,-3.128,-20.646,-26.833,-30.672
201,-3.139,-20.661,-26.833,-30.672
202,-3.149,-20.674,-26.833,-30.672
203,-3.158,-20.685,-26.833,-30.672
204,-3.168,-20.699,-26.833,-30.672
205,-3.176,-20.710,-26.833,-30.672
206,-3.186,-20.724,-26.833,-30.672
207,-3.195,-20.736,-26.833,-30.672
208,-3.204,-20.749,-26.833,-30.672
209,-3.215,-20.764,-26.833,-30.672
210,-3.226,-20.780,-26.833,-30.672
211,-3.237,-20.796,-26.833,-30.672
212,-3.249,-20.812,-26.833,-30.672
213,-3.260,-20.829,-26.833,-30.672
214,-3.272,-20.845,-26.833,-30.672
215,-3.283,-20.861,-26.833,-30.672
216,-3.294,-20.877,-26.833,-30.672
217,-3.306,-20.894,-26.833,-30.672
218,-3.317,-20.910,-26.833,-30.672
219,-3.329,-20.926,-26.833,-30.672
220,-3.340,-20.942,-26.833,-30.672
221,-3.351,-20.958,-26.833,-30.672
222,-3.363,-20.975,-26.833,-30.672
223,-3.374,-20.991,-26.833,-30.672
224,-3.385,-21.006,-26.833,-30.672
225,-3.396,-21.022,-26.833,-30.672
226,-3.408,-21.038,-26.833,-30.672
227,-3.419,-21.055,-26.833,-30.672
228,-3.431,-21.071,-26.833,-30.672
229,-3.442,-21.087,-26.833,-30.672
230,-3.453,-21.103,-26.833,-30.672
231,-3.465,-21.119,-26.833,-30.672
232,-3.476,-21.135,-26.833,-30.672
233,-3.488,-21.152,-26.833,-30.672
234,-3.499,-21.168,-26.833,-30.672
235,-3.510,-21.183,-26.833,-30.672
236,-3.520,-21.196,-26.833,-30.672
237,-3.529,-21.209,-26.833,-30.672
238,-3.539,-21.222,-26.833,-30.672
239,-3.548,-21.235,-26.833,-30.672
240,-3.558,-21.248,-26.833,-30.672
241,-3.568,-21.261,-26.833,-30.672
242,-3.578,-21.274,-26.833,-30.672
243,-3.589,-21.287,-26.833,-30.672
244,-3.600,-21.300,-26.833,-30.672
245,-3.611,-21.312,-26.833,-30.672
246,-3.622,-21.324,-26.833,-30.672
247,-3.633,-21.336,-26.833,-30.672
248,-3.646,-21.348,-26.833,-30.672
249,-3.660,-21.361,-26.833,-30.672
250,-3.675,-21.374,-26.833,-30.672
251,-3.690,-21.387,-26.833,-30.672
252,-3.705,-21.400,-26.833,-30.672
253,-3.720,-21.413,-26.833,-30.672
254,-3.735,-21.426,-26.833,-30.672
255,-3.750,-21.439,-26.833,-30.672
256,-3.765,-21.452,-26.833,-30.672
257,-3.780,-21.464,-26.833,-30.672
258,-3.795,-21.477,-26.833,-30.672
259,-3.810,-21.490,-26.833,-30.672
260,-3.825,-21.503,-26.833,-30.672
261,-3.840,-21.516,-26.833,-30.672
262,-3.855,-21.529,-26.833,-30.672
263,-3.871,-21.542,-26.833,-30.672
264,-3.886,-21.555,-26.833,-30.672
265,-3.901,-21.568,-26.833,-30.672
266,-3.916,-21.580,-26.833,-30.672
267,-3.931,-21.593,-26.833,-30.672
268,-3.946,-21.606,-26.833,-30.672
269,-3.961,-21.619,-26.833,-30.672
270,-3.976,-21.632,-26.833,-30.672
271,-3.991,-21.645,-26.833,-30.672
272,-4.006,-21.658,-26.833,-30.672
273,-4.021,-21.671,-26.833,-30.672
274,-4.036,-21.683,-26.833,-30.672
275,-4.051,-21.696,-26.833,-30.672
276,-4.066,-21.709,-26.833,-30.672
277,-4.081,-21.722,-26.833,-30.672
278,-4.097,-21.735,-26.833,-30.672
279,-4.112,-21.748,-26.833,-30.672
280,-4.127,-21.761,-26.833,-30.672
281,-4.142,-21.774,-26.833,-30.672
282,-4.157,-21.786,-26.833,-30.672
283,-4.172,-21.799,-26.833,-30.672
284,-4.187,-21.812,-26.833,-30.672
285,-4.202,-21.825,-26.833,-30.672
286,-4.217,-21.838,-26.833,-30.672
287,-4.232,-21.851,-26.833,-30.672
288,-4.247,-21.864,-26.833,-30.672
289,-4.262,-21.877,-26.833,-30.672
290,-4.277,-21.890,-26.833,-30.672
291,-4.292,-21.902,-26.833,-30.672
292,-4.307,-21.915,-26.833,-30.672
293,-4.323,-21.928,-26.833,-30.672
294,-4.338,-21.941,-26.833,-30.672
295,-4.353,-21.954,-26.833,-30.672
296,-4.368,-21.967,-26.833,-30.672
297,-4.383,-21.980,-26.833,-30.672
298,-4.398,-21.993,-26.833,-30.672
299,-4.413,-22.005,-26.833,-30.672
300,-4.428,-22.018,-26.833,-30.672
301,-4.443,-22.031,-26.833,-30.672
302,-4.458,-22.044,-26.833,-30.672
303,-4.473,-22.057,-26.833,-30.672
304,-4.488,-22.070,-26.833,-30.672
305,-4.503,-22.083,-26.833,-30.672
306,-4.518,-22.096,-26.833,-30.672
307,-4.533,-22.108,-26.833,-30.672
308,-4.549,-22.121,-26.833,-30.672
309,-4.564,-22.134,-26.833,-30.672
310,-4.579,-22.147,-26.833,-30.672
311,-4.594,-22.160,-26.833,-30.672
312,-4.609,-22.173,-26.833,-30.672
313,-4.624,-22.186,-26.833,-30.672
314,-4.639,-22.199,-26.833,-30.672
315,-4.654,-22.212,-26.833,-30.672
316,-4.669,-22.224,-26.833,-30.672
317,-4.684,-22.237,-26.833,-30.672
318,-4.699,-22.250,-26.833,-30.672
319,-4.714,-22.263,-26.833,-30.672
320,-4.729,-22.276,-26.833,-30.672
321,-4.744,-22.289,-26.833,-30.672
322,-4.759,-22.302,-26.833,-30.672
323,-4.775,-22.315,-26.833,-30.672
324,-4.790,-22.327,-26.833,-30.672
325,-4.805,-22.340,-26.833,-30.672
326,-4.820,-22.353,-26.833,-30.672
327,-4.835,-22.366,-26.833,-30.672
328,-4.850,-22.379,-26.833,-30.672
329,-4.865,-22.392,-26.833,-30.672
330,-4.880,-22.405,-26.833,-30.672
331,-4.895,-22.418,-26.833,-30.672
332,-4.910,-22.430,-26.833,-30.672
333,-4.925,-22.443,-26.833,-30.672
334,-4.940,-22.456,-26.833,-30.672
335,-4.955,-22.469,-26.833,-30.672
336,-4.970,-22.482,-26.833,-30.672
337,-4.985,-22.495,-26.833,-30.672
338,-5.000,-22.508,-26.833,-30.672
339,-5.016,-22.521,-26.833,-30.672
340,-5.031,-22.533,-26.833,-30.672
341,-5.046,-22.546,-26.833,-30.672
342,-5.061,-22.559,-26.833,-30.672
343,-5.076,-22.572,-26.833,-30.672
344,-5.091,-22.585,-26.833,-30.672
345,-5.106,-22.598,-26.833,-30.672
346,-5.121,-22.611,-26.833,-30.672
347,-5.136,-22.624,-26.833,-30.672
348,-5.151,-22.636,-26.833,-30.672
349,-5.166,-22.649,-26.833,-30.672
350,-5.181,-22.662,-26.833,-30.672
351,-5.196,-22.675,-26.833,-30.672
352,-5.211,-22.688,-26.833,-30.672
353,-5.226,-22.701,-26.833,-30.672
354,-5.241,-22.714,-26.833,-30.672
355,-5.257,-22.727,-26.833,-30.672
356,-5.272,-22.739,-26.833,-30.672
357,-5.287,-22.752,-26.833,-30.672
358,-5.302,-22.765,-26.833,-30.672
359,-5.317,-22.778,-26.833,-30.672
360,-5.332,-22.791,-26.833,-30.672
361,-5.347,-22.804,-26.833,-30.672
362,-5.362,-22.817,-26.833,-30.672
363,-5.377,-22.829,-26.833,-30.672
364,-5.392,-22.842,-26.833,-30.672
365,-5.407,-22.855,-26.833,-30.672
366,-5.422,-22.868,-26.833,-30.672
367,-5.437,-22.881,-26.833,-30.672
368,-5.452,-22.894,-26.833,-30.672
369,-5.467,-22.907,-26.833,-30.672
370,-5.482,-22.920,-26.833,-30.672
371,-5.497,-22.932,-26.833,-30.672
372,-5.512,-22.945,-26.833,-30.672
373,-5.528,-22.958,-26.833,-30.672
374,-5.543,-22.971,-26.833,-30.672
375,-5.558,-22.984,-26.833,-30.672
376,-5.573,-22.997,-26.833,-30.672
377,-5.588,-23.010,-26.833,-30.672
378,-5.603,-23.022,-26.833,-30.672
379,-5.618,-23.035,-26.833,-30.672
380,-5.633,-23.048,-26.833,-30.672
381,-5.648,-23.061,-26.833,-30.672
382,-5.663,-23.074,-26.833,-30.672
383,-5.678,-23.087,-26.833,-30.672
384,-5.693,-23.100,-26.833,-30.672
385,-5.708,-23.112,-26.833,-30.672
386,-5.723,-23.125,-26.833,-30.672
387,-5.738,-23.138,-26.833,-30.672
388,-5.753,-23.151,-26.833,-30.672
389,-5.768,-23.164,-26.833,-30.672
390,-5.783,-23.177,-26.833,-30.672
391,-5.798,-23.190,-26.833,-30.672
392,-5.814,-23.202,-26.833,-30.672
393,-5.829,-23.215,-26.833,-30.672
394,-5.844,-23.228,-26.833,-30.672
395,-5.859,-23.241,-26.833,-30.672
396,-5.874,-23.254,-26.833,-30.672
397,-5.889,-23.267,-26.833,-30.672
398,-5.904,-23.280,-26.833,-30.672
399,-5.919,-23.292,-26.833,-30.672
400,-5.934,-23.305,-26.833,-30.672
401,-5.949,-23.318,-26.833,-30.672
402,-5.964,-23.331,-26.833,-30.672
403,-5.979,-23.344,-26.833,-30.672
404,-5.994,-23.357,-26.833,-30.672
405,-6.009,-23.369,-26.833,-30.672
406,-6.024,-23.382,-26.833,-30.672
407,-6.039,-23.395,-26.833,-30.672
408,-6.054,-23.408,-26.833,-30.672
409,-6.069,-23.421,-26.833,-30.672
410,-6.084,-23.434,-26.833,-30.672
411,-6.099,-23.447,-26.833,-30.672
412,-6.115,-23.459,-26.833,-30.672
413,-6.130,-23.472,-26.833,-30.672
414,-6.145,-23.485,-26.833,-30.672
415,-6.160,-23.498,-26.833,-30.672
416,-6.175,-23.511,-26.833,-30.672
417,-6.190,-23.524,-26.833,-30.672
418,-6.205,-23.537,-26.833,-30.672
419,-6.220,-23.549,-26.833,-30.672
420,-6.235,-23.562,-26.833,-30.672
421,-6.250,-23.575,-26.833,-30.672
422,-6.265,-23.588,-26.833,-30.672
423,-6.280,-23.601,-26.833,-30.672
424,-6.295,-23.614,-26.833,-30.672
425,-6.310,-23.626,-26.833,-30.672
426,-6.325,-23.639,-26.833,-30.672
427,-6.340,-23.652,-26.833,-30.672
428,-6.355,-23.665,-26.833,-30.672
429,-6.370,-23.678,-26.833,-30.672
430,-6.385,-23.691,-26.833,-30.672
431,-6.400,-23.704,-26.833,-30.672
432,-6.415,-23.716,-26.833,-30.672
433,-6.431,-23.729,-26.833,-30.672
434,-6.446,-23.742,-26.833,-30.672
435,-6.461,-23.755,-26.833,-30.672
436,-6.476,-23.768,-26.833,-30.672
437,-6.491,-23.781,-26.833,-30.672
438,-6.506,-23.793,-26.833,-30.672
439,-6.521,-23.806,-26.833,-30.672
440,-6.536,-23.819,-26.833,-30.672
441,-6.551,-23.832,-26.833,-30.672
442,-6.566,-23.845,-26.833,-30.672
443,-6.581,-23.858,-26.833,-30.672
444,-6.595,-23.869,-26.833,-30.672
445,-6.607,-23.880,-26.833,-30.672
446,-6.620,-23.890,-26.833,-30.672
447,-6.632,-23.901,-26.833,-30.672
448,-6.644,-23.911,-26.833,-30.672
449,-6.656,-23.921,-26.833,-30.672
450,-6.670,-23.932,-26.833,-30.672
451,-6.684,-23.941,-26.833,-30.672
452,-6.698,-23.952,-26.833,-30.672
453,-6.711,-23.961,-26.833,-30.672
454,-6.726,-23.971,-26.833,-30.672
455,-6.740,-23.981,-26.833,-30.672
456,-6.755,-23.990,-26.833,-30.672
457,-6.771,-24.000,-26.833,-30.672
458,-6.788,-24.011,-26.833,-30.672
459,-6.805,-24.021,-26.833,-30.672
460,-6.822,-24.031,-26.833,-30.672
461,-6.839,-24.042,-26.833,-30.672
462,-6.856,-24.052,-26.833,-30.672
463,-6.873,-24.062,-26.833,-30.672
464,-6.889,-24.072,-26.833,-30.672
465,-6.906,-24.083,-26.833,-30.672
466,-6.923,-24.093,-26.833,-30.672
