episode,reward,avg50,steps,done_reason,epsilon,loss
1,-537.051,-537.051,1858,collision,0.9930,0.00198
2,-515.622,-526.336,2676,collision,0.9860,0.04224
3,-1217.994,-756.889,3926,collision,0.9791,0.06940
4,-1163.885,-858.638,4784,collision,0.9723,0.15115
5,242.940,-638.322,231,goal,0.9655,0.54527
6,-144.698,-556.052,247,collision,0.9587,5.28282
7,-303.425,-519.962,6500,timeout,0.9520,2.58161
8,-607.902,-530.955,2166,collision,0.9454,2.19217
9,239.034,-445.400,248,goal,0.9387,3.34412
10,-281.982,-429.058,6500,timeout,0.9322,3.22799
11,-427.164,-428.886,1096,collision,0.9256,4.68938
12,-293.920,-417.639,2128,collision,0.9192,2.93540
13,-851.995,-451.051,6231,collision,0.9127,3.32468
14,-248.117,-436.556,4836,collision,0.9063,2.74300
15,248.110,-390.911,226,goal,0.9000,1.78469
16,-397.308,-391.311,4384,collision,0.8937,3.26411
17,-752.435,-412.554,2977,collision,0.8874,3.51689
18,-124.999,-396.578,2062,collision,0.8812,3.28580
19,-453.017,-399.549,3316,collision,0.8751,2.86184
20,354.921,-361.825,1480,goal,0.8689,2.78150
21,-255.700,-356.772,5028,collision,0.8628,2.29086
22,-83.875,-344.367,1730,collision,0.8568,3.96537
23,-165.737,-336.601,570,collision,0.8508,3.14090
24,-237.214,-332.460,6500,timeout,0.8449,4.01502
25,325.213,-306.153,602,goal,0.8389,3.20493
26,-104.543,-298.399,6500,timeout,0.8331,3.44513
27,348.816,-274.428,682,goal,0.8272,1.80407
28,245.981,-255.842,206,goal,0.8214,5.37166
29,245.470,-238.555,1496,goal,0.8157,4.11949
30,-18.791,-231.230,2623,collision,0.8100,3.26453
31,264.430,-215.241,308,goal,0.8043,7.14353
32,367.312,-197.036,1489,goal,0.7987,4.34362
33,424.646,-178.197,1500,goal,0.7931,4.00029
34,-13.821,-173.362,6500,timeout,0.7875,4.63438
35,-178.500,-173.509,6500,timeout,0.7820,3.92312
36,407.162,-157.379,2270,goal,0.7766,4.36979
37,31.050,-152.287,1620,collision,0.7711,3.83538
38,327.970,-139.648,1373,goal,0.7657,5.98978
39,329.989,-127.606,1628,goal,0.7604,6.03552
40,211.372,-119.132,3882,goal,0.7550,4.71656
41,-434.807,-126.831,993,collision,0.7498,4.77609
42,229.097,-118.357,364,goal,0.7445,8.73760
43,-19.772,-116.064,300,collision,0.7393,1.20281
44,427.948,-103.700,1761,goal,0.7341,6.52144
45,503.077,-90.216,1184,goal,0.7290,3.75228
46,-163.485,-91.809,304,collision,0.7239,3.62547
47,-31.732,-90.531,1320,stuck,0.7188,8.63137
48,-332.079,-95.563,1251,collision,0.7138,9.28544
49,388.162,-85.691,874,goal,0.7088,4.82520
50,530.555,-73.366,1172,goal,0.7038,5.63288
51,154.311,-59.539,950,collision,0.6989,5.00318
52,322.250,-42.782,570,goal,0.6940,7.54836
53,52.395,-17.374,1034,stuck,0.6891,9.18436
54,530.866,16.521,1667,goal,0.6843,7.44916
55,-135.086,8.961,721,collision,0.6795,5.45278
56,-1071.196,-9.569,1044,stuck,0.6748,8.54735
57,530.719,7.114,1425,goal,0.6700,6.30297
58,298.647,25.245,590,goal,0.6654,7.44405
59,128.018,23.024,1957,goal,0.6607,7.90553
60,484.351,38.351,1301,goal,0.6561,10.03947
61,515.207,57.198,1192,goal,0.6515,9.30334
62,344.525,69.967,784,goal,0.6469,10.11672
63,357.452,94.156,553,goal,0.6424,11.93696
64,232.982,103.778,550,goal,0.6379,11.04807
65,413.903,107.094,988,goal,0.6334,11.18703
66,-291.319,109.214,1082,collision,0.6290,10.73448
67,47.836,125.219,470,collision,0.6246,7.48075
68,16.489,128.049,236,collision,0.6202,16.78628
69,-172.724,133.655,979,stuck,0.6159,8.51327
70,299.188,132.540,914,goal,0.6116,11.38879
71,421.180,146.078,2179,goal,0.6073,11.71780
72,255.674,152.869,273,goal,0.6030,10.70359
