episode,reward,avg50,steps,done_reason,epsilon,loss
1,292.595,292.595,2945,collision,0.9930,0.03133
2,33.852,163.224,2177,collision,0.9860,0.10421
3,-82.348,81.366,607,collision,0.9791,0.14755
4,423.009,166.777,2444,collision,0.9723,0.08676
5,52.065,143.834,684,collision,0.9655,0.12899
6,-17.087,117.014,756,collision,0.9587,0.12042
7,1662.446,337.790,3204,goal,0.9520,0.13993
8,1719.756,510.536,2426,goal,0.9454,2.80085
9,168.288,472.508,1354,collision,0.9387,4.20123
10,1460.507,571.308,5000,timeout,0.9322,3.27400
11,390.711,554.890,1634,collision,0.9256,1.87735
12,205.759,525.796,1330,collision,0.9192,2.30904
13,386.264,515.063,198,goal,0.9127,0.79293
14,560.192,518.286,1691,collision,0.9063,3.02040
15,993.851,549.991,568,goal,0.9000,3.57469
16,582.192,552.003,864,goal,0.8937,2.70037
17,886.199,571.662,502,goal,0.8874,1.45718
18,826.160,585.801,1466,goal,0.8812,4.28308
19,699.440,591.782,1133,goal,0.8751,4.45842
20,1301.957,627.290,3485,goal,0.8689,6.28821
21,-235.155,586.221,416,collision,0.8628,7.03778
22,874.731,599.336,577,goal,0.8568,6.10081
23,1179.826,624.574,1289,goal,0.8508,5.63068
24,1017.914,640.963,972,goal,0.8449,6.10085
25,1238.745,664.875,791,goal,0.8389,3.59460
26,1057.981,679.994,678,goal,0.8331,3.76235
27,461.807,671.913,543,goal,0.8272,8.79257
28,1181.456,690.111,1044,goal,0.8214,6.21686
29,1160.366,706.327,902,goal,0.8157,6.22640
30,1142.607,720.870,635,goal,0.8100,8.84993
31,1191.977,736.067,857,goal,0.8043,4.19489
32,1051.728,745.931,845,goal,0.7987,5.96050
33,1028.379,754.490,694,goal,0.7931,6.24549
34,683.255,752.395,478,goal,0.7875,7.14996
35,620.248,748.619,527,goal,0.7820,8.16926
36,1113.166,758.745,717,goal,0.7766,7.11537
37,1319.112,773.891,924,goal,0.7711,7.47142
38,1415.692,790.780,867,goal,0.7657,8.31670
39,786.577,790.672,552,goal,0.7604,7.52629
40,638.396,786.865,377,goal,0.7550,7.01535
41,475.978,779.283,209,goal,0.7498,5.93423
42,408.056,770.444,219,goal,0.7445,5.93366
43,841.507,772.097,536,goal,0.7393,10.92601
44,511.560,766.175,272,goal,0.7341,4.11270
45,1050.670,772.497,861,goal,0.7290,8.57582
46,15.490,756.041,1608,collision,0.7239,8.88361
47,805.077,757.084,526,goal,0.7188,8.94269
48,1235.824,767.058,763,goal,0.7138,8.23334
