episode,reward,avg50,steps,done_reason,epsilon,loss
1,111.943,111.943,1821,collision,0.9930,0.07177
2,94.617,103.280,4119,collision,0.9860,0.06776
3,9.377,71.979,3664,rollover,0.9791,0.05883
4,-120.356,23.895,127,collision,0.9723,0.11295
5,170.689,53.254,1785,collision,0.9655,0.11385
6,910.762,196.172,4844,collision,0.9587,0.13438
7,795.505,281.791,710,goal,0.9520,0.20146
8,-31.825,242.589,483,collision,0.9454,0.97343
9,1147.141,343.095,4421,collision,0.9387,1.52157
10,1046.678,413.453,1273,goal,0.9322,1.40577
11,445.391,416.356,266,goal,0.9256,3.94336
12,-54.873,377.087,357,collision,0.9192,2.20649
13,-36.556,345.269,1115,collision,0.9127,2.29500
14,1059.957,396.318,3237,goal,0.9063,3.72419
15,1550.829,473.285,2981,goal,0.9000,3.66929
16,1435.228,533.407,3346,goal,0.8937,3.59367
17,623.371,538.699,361,goal,0.8874,6.31177
18,599.961,542.102,505,goal,0.8812,3.64103
19,853.937,558.514,561,goal,0.8751,5.04288
20,372.542,549.216,2323,collision,0.8689,4.47411
21,688.983,555.871,777,goal,0.8628,3.85498
22,1094.867,580.371,732,goal,0.8568,6.31749
23,1396.615,615.860,1185,goal,0.8508,4.77935
24,374.748,605.814,331,goal,0.8449,4.62855
25,877.919,616.698,481,goal,0.8389,3.23521
26,833.686,625.044,444,goal,0.8331,6.55239
27,732.572,629.026,979,collision,0.8272,6.73219
28,219.106,614.386,457,collision,0.8214,5.04393
29,404.690,607.155,141,goal,0.8157,8.83263
30,1138.476,624.866,967,goal,0.8100,5.85807
31,1323.469,647.402,908,goal,0.8043,9.07310
32,938.473,656.497,879,goal,0.7987,5.56949
33,1324.575,676.742,878,goal,0.7931,5.86811
34,1095.525,689.059,998,goal,0.7875,5.08405
35,1257.081,705.289,1024,goal,0.7820,5.36796
36,997.646,713.410,721,goal,0.7766,6.78109
37,1055.380,722.652,1072,goal,0.7711,7.84099
38,1446.851,741.710,856,goal,0.7657,7.07472
39,731.202,741.440,362,goal,0.7604,7.13011
40,926.231,746.060,539,goal,0.7550,5.11503
41,333.754,736.004,309,goal,0.7498,6.18110
42,997.840,742.238,920,goal,0.7445,5.94309
43,321.863,732.462,386,goal,0.7393,8.14057
44,513.260,727.480,296,goal,0.7341,6.17134
45,234.784,716.531,268,collision,0.7290,11.72715
46,746.401,717.181,521,goal,0.7239,5.00295
47,1066.586,724.615,721,goal,0.7188,11.81979
48,1311.055,736.832,903,goal,0.7138,7.29152
49,835.154,738.839,679,collision,0.7088,6.79632
50,1552.964,755.121,967,goal,0.7038,5.65333
51,841.954,769.722,450,goal,0.6989,6.70980
52,1617.728,800.184,949,goal,0.6940,7.68783
