x,y,r
-1.763,-25.374,0.800
0.000,-34.270,1.000
9.626,-29.394,0.800
-28.770,-26.380,0.800
-37.239,27.646,0.800
42.061,8.193,0.800
-3.560,-17.732,0.800
-19.835,-23.205,0.800
19.724,10.871,0.800
-37.096,30.851,0.800
-43.409,11.213,0.800
-23.346,-5.596,1.200
42.990,15.626,1.200
24.470,-31.970,1.200
33.993,-22.746,1.200
-37.915,21.258,1.200
24.262,16.173,1.200
-2.790,28.467,1.200
-5.301,-13.923,1.200
24.727,-26.386,1.200
-32.050,26.691,1.200
-11.291,29.891,1.200
0.564,40.724,1.200
29.816,-27.176,1.200
-42.844,-9.578,1.200
-34.545,-22.985,1.200
-3.197,35.249,1.200
-31.807,-31.653,1.200
-38.730,14.115,1.200
8.071,-35.251,1.200
-5.589,38.567,1.200
43.579,3.751,1.200
-32.337,-5.635,1.200
18.291,3.016,1.200
-21.423,-34.071,1.200
-3.509,13.793,1.200
38.798,6.350,1.200
48.860,-40.990,3.500
8.767,-23.587,0.500
10.078,-25.528,2.200
13.674,-24.654,2.200
12.655,-18.680,2.200
9.640,-20.993,1.200
9.702,-18.681,1.200
10.571,-24.035,0.500
12.729,-20.381,0.700
14.996,-21.005,1.200
7.505,-20.993,0.700
15.104,-25.198,1.200
7.578,-22.525,1.200
16.745,-21.793,2.200
11.419,-17.812,2.200
14.335,-18.854,2.200
12.279,-25.270,1.200
8.181,-18.983,0.500
15.678,-19.670,2.200
16.456,-23.281,1.200
12.794,-23.083,1.200
8.695,-25.088,1.200
10.367,-22.519,1.200
13.613,-17.229,0.700
14.626,-22.707,2.200
12.007,-21.689,0.500
11.124,-19.811,0.700
13.369,-26.269,1.200
10.115,-17.146,2.200
11.267,-26.396,1.200
14.936,-26.967,1.200
15.730,-26.359,1.200
16.523,-25.751,1.200
18.031,-24.595,1.200
18.825,-17.986,1.200
19.619,-17.378,1.200
0.158,22.856,1.200
-0.842,22.877,1.200
-1.842,22.897,1.200
-3.741,22.937,1.200
-4.741,22.957,1.200
-5.741,22.978,1.200
-31.676,0.140,1.200
-30.928,-0.524,1.200
-30.180,-1.188,1.200
-28.760,-2.450,1.200
-28.012,-3.114,1.200
-27.265,-3.778,1.200
-16.487,8.683,1.200
-14.983,0.938,1.200
35.022,23.081,1.200
-16.318,-21.412,1.200
-12.290,22.259,1.200
10.081,11.667,1.200
-9.233,16.221,1.200
-22.326,-18.246,1.200
-18.224,2.631,1.200
-9.293,-38.601,1.200
18.446,-11.476,2.200
24.343,-3.888,2.200
-38.063,9.767,2.200
13.218,21.499,2.200
-16.408,-14.572,2.200
28.693,3.386,2.200
39.058,-3.371,2.200
49.451,-7.283,2.000
-21.252,13.493,2.000
-33.420,50.358,2.000
-45.674,2.949,2.000
6.944,-38.904,1.200
5.522,-36.732,1.200
23.700,0.200,2.000
29.300,0.200,2.000
21.300,-2.800,2.000
21.300,-7.800,2.000
30.500,-2.200,2.000
30.500,-7.600,2.000
22.500,-9.000,2.000
21.300,0.200,2.000
21.032,-8.848,0.700
30.273,0.434,0.700
24.404,-0.011,0.700
29.968,-5.745,0.700
21.086,-5.766,0.700
28.200,-0.107,0.700
31.108,-4.480,1.200
22.256,-9.748,1.200
31.636,-6.140,1.200
23.944,-9.074,1.200
24.884,0.879,1.200
25.708,1.970,1.200
24.700,-3.200,0.500
26.500,-2.600,0.500
23.400,-5.400,0.500
