episode,reward,avg50,steps,done_reason,epsilon,loss
1,-157.443,-157.443,217,collision,0.9930,0.15555
2,-887.749,-522.596,3628,collision,0.9860,0.09576
3,-1357.032,-800.742,6361,collision,0.9791,0.11647
4,-188.200,-647.606,877,collision,0.9723,0.12130
5,-192.292,-556.543,284,collision,0.9655,0.20922
6,-359.477,-523.699,2768,collision,0.9587,0.17642
7,-344.379,-498.082,2324,collision,0.9520,0.17745
8,-57.745,-443.040,687,collision,0.9454,0.21310
9,-197.186,-415.723,1173,collision,0.9387,0.18979
10,171.155,-357.035,3657,goal,0.9322,0.44045
11,310.551,-296.345,883,goal,0.9256,4.24959
12,-226.675,-290.539,910,collision,0.9192,4.94683
13,-74.593,-273.928,1451,collision,0.9127,4.46348
14,-37.241,-257.022,1406,collision,0.9063,2.29132
15,-186.610,-252.328,6500,timeout,0.9000,2.64656
16,283.425,-218.843,1506,goal,0.8937,4.00919
17,136.903,-197.917,4174,goal,0.8874,2.56040
18,90.691,-181.883,2124,goal,0.8812,5.47089
19,286.328,-157.241,476,goal,0.8751,3.33007
20,277.699,-135.494,304,goal,0.8689,4.56161
21,246.585,-117.299,4995,goal,0.8628,6.71987
22,262.108,-100.054,275,goal,0.8568,10.59776
23,-99.317,-100.022,1641,collision,0.8508,8.87088
24,-68.358,-98.702,154,collision,0.8449,3.81685
25,-41.629,-96.419,716,collision,0.8389,4.25952
26,-10.623,-93.119,645,collision,0.8331,5.54202
27,291.666,-78.868,450,goal,0.8272,5.32353
28,28.715,-75.026,430,collision,0.8214,3.09067
29,311.377,-61.702,463,goal,0.8157,10.41169
30,326.213,-48.771,586,goal,0.8100,8.27213
31,243.328,-39.349,931,goal,0.8043,7.91946
32,407.489,-25.385,920,goal,0.7987,7.88521
33,348.769,-14.047,629,goal,0.7931,11.33165
34,253.138,-6.189,192,goal,0.7875,8.72919
35,274.086,1.819,901,goal,0.7820,8.39195
36,262.859,9.070,370,goal,0.7766,3.67265
37,336.390,17.917,847,goal,0.7711,11.21875
38,257.885,24.232,1434,goal,0.7657,12.10665
39,418.794,34.349,2259,goal,0.7604,10.45051
40,275.310,40.373,734,goal,0.7550,10.60173
41,375.248,48.540,717,goal,0.7498,10.74399
42,235.789,52.999,158,goal,0.7445,17.39840
43,-180.236,47.575,689,collision,0.7393,12.11311
44,2.031,46.540,426,collision,0.7341,13.19986
45,408.179,54.576,873,goal,0.7290,12.48924
46,67.014,54.846,372,collision,0.7239,14.84432
47,368.339,61.516,721,goal,0.7188,14.91497
48,82.465,61.953,968,collision,0.7138,13.62185
49,299.038,66.791,694,goal,0.7088,12.74618
50,407.741,73.610,796,goal,0.7038,11.05771
51,379.315,84.346,878,goal,0.6989,13.21654
52,380.456,109.710,1361,goal,0.6940,13.06557
53,122.822,139.307,573,collision,0.6891,12.58579
54,-370.664,135.657,598,collision,0.6843,10.86596
55,-86.225,137.779,554,collision,0.6795,16.34765
56,414.354,153.255,932,goal,0.6748,11.98016
57,53.415,161.211,651,collision,0.6700,14.63405
58,528.814,172.942,1212,goal,0.6654,10.67561
59,415.392,185.194,1090,goal,0.6607,14.77858
60,559.169,192.954,2130,goal,0.6561,15.32634
61,222.526,191.194,1248,collision,0.6515,13.77583
62,411.707,203.961,790,goal,0.6469,15.15623
63,505.880,215.571,1276,goal,0.6424,16.02275
64,448.984,225.295,963,goal,0.6379,15.85204
65,547.717,239.982,1274,goal,0.6334,12.56274
66,439.932,243.112,870,goal,0.6290,8.90479
67,90.373,242.181,1200,collision,0.6246,17.29182
68,413.323,248.634,751,goal,0.6202,21.96110
69,278.702,248.482,530,goal,0.6159,12.91366
70,428.242,251.492,981,goal,0.6116,11.94547
71,569.383,257.948,1484,goal,0.6073,13.99977
72,178.841,256.283,820,collision,0.6030,19.40717
73,-360.575,251.058,1350,collision,0.5988,13.36537
74,449.164,261.408,1036,goal,0.5946,14.46718
75,404.780,270.337,1280,goal,0.5905,12.22546
76,-93.275,268.683,1041,collision,0.5863,17.68563
77,234.895,267.548,1502,collision,0.5822,15.08243
78,616.460,279.303,1560,goal,0.5782,13.97772
79,50.669,274.089,2612,collision,0.5741,14.43133
80,460.957,276.784,1170,goal,0.5701,17.01033
81,519.164,282.300,1782,goal,0.5661,17.49571
82,263.130,279.413,463,goal,0.5621,9.42195
83,391.480,280.267,1644,goal,0.5582,16.99786
84,661.379,288.432,1515,goal,0.5543,14.18108
85,22.913,283.409,614,collision,0.5504,18.33006
86,-49.650,277.159,180,collision,0.5466,14.92450
87,486.479,280.160,2890,goal,0.5427,12.59554
88,487.257,284.748,1009,goal,0.5389,17.08995
89,-24.783,275.876,64,collision,0.5352,7.70734
90,481.050,279.991,1180,goal,0.5314,14.83924
91,721.209,286.910,1736,goal,0.5277,14.67266
92,521.932,292.633,1221,goal,0.5240,17.78249
93,252.791,301.294,2839,goal,0.5203,14.65463
94,678.208,314.817,1496,goal,0.5167,19.81427
95,391.744,314.489,661,goal,0.5131,11.80822
96,346.395,320.076,588,goal,0.5095,18.16104
97,419.196,321.093,1809,goal,0.5059,17.36486
98,670.215,332.848,1817,goal,0.5024,11.54632
99,478.004,336.428,1398,goal,0.4989,13.15067
100,697.678,342.226,1799,goal,0.4954,13.44104
101,515.699,344.954,1018,goal,0.4919,12.27028
102,743.472,352.214,1912,goal,0.4885,14.40058
103,68.753,351.133,350,collision,0.4850,21.34642
104,181.768,362.182,865,collision,0.4816,13.98286
105,734.500,378.596,1867,goal,0.4783,17.65275
106,467.347,379.656,1023,goal,0.4749,13.36746
107,267.901,383.946,302,goal,0.4716,15.93194
108,427.797,381.925,843,goal,0.4683,13.22633
109,118.764,375.993,736,collision,0.4650,12.60773
110,-86.192,363.086,208,collision,0.4618,10.90583
111,322.038,365.076,412,goal,0.4585,10.49350
112,658.829,370.018,1368,goal,0.4553,14.06792
113,254.869,364.998,200,goal,0.4521,7.14517
114,137.859,358.776,770,collision,0.4490,21.56837
115,446.829,356.758,1435,goal,0.4458,14.37809
116,-644.618,335.067,1751,collision,0.4427,16.31767
117,-67.123,331.917,447,collision,0.4396,15.16026
118,334.533,330.341,393,goal,0.4365,25.23962
119,137.951,327.526,584,collision,0.4335,14.83264
120,662.142,332.204,1477,goal,0.4304,14.88331
121,298.687,326.790,373,goal,0.4274,7.26014
122,-15.785,322.898,5,collision,0.4244,0.26932
123,86.051,331.830,404,collision,0.4215,15.16803
124,568.883,334.225,1289,goal,0.4185,10.19024
125,852.272,343.174,2203,goal,0.4156,14.43380
126,89.730,346.835,475,collision,0.4127,16.55027
127,199.322,346.123,950,collision,0.4098,13.54393
128,595.385,345.702,2109,collision,0.4069,16.81534
129,415.615,353.001,797,goal,0.4041,22.62657
130,248.044,348.742,1837,goal,0.4012,16.54709
131,613.557,350.630,1882,goal,0.3984,15.60412
132,58.278,346.533,1330,collision,0.3956,15.47541
133,652.533,351.754,1548,goal,0.3929,14.89722
134,543.285,349.392,1126,goal,0.3901,17.91139
135,345.214,355.838,1302,rollover,0.3874,11.94848
136,424.065,365.313,1655,collision,0.3847,12.72272
137,826.624,372.115,1985,goal,0.3820,14.77685
138,936.288,381.096,2242,goal,0.3793,13.47984
139,362.154,388.835,540,goal,0.3767,14.59925
140,301.749,385.249,1075,collision,0.3740,11.63517
141,202.549,374.876,815,collision,0.3714,15.31593
142,505.537,374.548,960,goal,0.3688,10.04201
143,462.820,378.748,851,goal,0.3662,15.43257
144,600.851,377.201,1299,goal,0.3637,13.83493
145,827.647,385.919,1965,goal,0.3611,13.59164
146,723.636,393.464,1488,goal,0.3586,15.27303
147,19.963,385.479,811,stuck,0.3561,14.10810
